Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Experience,"An Experience is the game or interactive virtual world a Player comes to Roblox to find, choose and enter.",
Owner,Actor,Roblox,"Roblox owns and operates the system connecting Players and Creators, controls discovery and the Robux economy and sets the safety rules.",
Owner,Job,Safe Growth,"Roblox must keep the platform attractive enough to grow while making it safe enough for Players, families, Creators and regulators to keep participating.",
Owner,Gain,Trust / Growth,The intended gain is trust and more durable growth if safer and more age-appropriate participation improves long-run platform health.,
Owner,Pain,Harm / Friction,Roblox has to avoid both weak governance that leaves children exposed to harm and overly restrictive governance that destroys useful play and communication.,
Owner,Transaction,Robux / Payout,Players buy Robux from Roblox; Creators can earn Robux and eligible Creators can convert earned Robux into fiat through Developer Exchange.,"← Consumer · Payment — Players who want paid items or features buy Robux from Roblox. | → Consumer · Experience — Roblox gives Players access to eligible Experiences through its app, search, recommendations and hosting system. | ← Provider · Content — Creators publish their Experiences and other content into Roblox, where the platform hosts, ranks and governs it. | → Provider · Payout — Eligible Creators can convert earned Robux into real money through Developer Exchange. | ← Partner · Estimate — Persona returns an age estimate that Roblox can use as an input to its own age-group and access rules."
Owner,Governance,Age / Access,"Roblox uses age checks, age-based communication rules, content ratings, parental controls and youth catalogs to decide who can reach which people and Experiences.",
Owner,Promotion Channel,Viral / Ads,"Roblox grows through friend networks, Creator-led discovery and advertising.",
Owner,Activities,Rank / Guard,"Roblox hosts Experiences, recommends content, runs payments and Robux and operates moderation and safety systems.",
Owner,Resources,Data / Network,The Player-Creator network and increasingly reliable age information are strategic resources for both safety and recommendation.,
Consumer,Actor,Players,"Players are the people who use Roblox to play games, explore virtual worlds and connect with other people.",
Consumer,Job,Play / Connect,"Players come to Roblox to play, discover new Experiences and connect with others.",
Consumer,Gain,Fun / Friends,Players seek enjoyable games and useful social connections.,
Consumer,Pain,Harm / Abuse,"The same social features that create connection can create child-safety risks, including unsafe contact between children and unknown adults.",
Consumer,Transaction,Play / Spend,"Players contribute time and attention and, for paying users, money that is converted into Robux and spent inside the platform.","→ Owner · Payment — Players who want paid items or features buy Robux from Roblox. | ← Owner · Experience — Roblox gives Players access to eligible Experiences through its app, search, recommendations and hosting system. | → Partner · Selfie — For facial age estimation, the Player supplies Persona with a short selfie-style video through the Roblox age-check flow."
Consumer,Filter,Age / Consent,"Age checks, age-based accounts, communication settings and parental controls increasingly determine what a Player can access.",
Consumer,Access Channel,App / Web,"Players enter through the Roblox app or website, while age status can determine which communication and content features are available.",
Consumer,Activities,Play / Chat,"Players repeatedly choose Experiences, play them and, where age settings allow it, communicate with other people.",
Consumer,Resources,Time / Robux,"Players contribute time, attention, friendships and sometimes Robux.",
Provider,Actor,Creators,Creators are people or teams who make the games and virtual worlds that Players come to Roblox for.,
Provider,Job,Create / Earn,"Creators want to build Experiences people enjoy, grow an audience and often earn income.",
Provider,Gain,Reach / Income,Roblox gives Creators access to a large audience and multiple ways to earn Robux.,
Provider,Pain,Rules / Reach,New safety requirements can make it harder for a Creator or Experience to reach younger Players.,
Provider,Transaction,Content / Robux,Creators supply Experiences and digital content and can earn Robux when Players spend or when other reward programs apply.,"→ Owner · Content — Creators publish their Experiences and other content into Roblox, where the platform hosts, ranks and governs it. | ← Owner · Payout — Eligible Creators can convert earned Robux into real money through Developer Exchange."
Provider,Filter,ID / Status,"Youth-catalog participation requires additional Creator verification, account conditions and content review.",
Provider,Access Channel,Studio,Creators build and publish through Roblox Studio.,
Provider,Activities,Build / Update,"Creators repeatedly build, test and update Experiences.",
Provider,Resources,Skill / Assets,"Creators contribute ideas, code, art, game design and other digital assets.",
Partner,Actor,Persona,Persona is the external technology company Roblox uses to process the short selfie video used for facial age estimation.,
Partner,Job,Scale Checks,Persona helps make age estimation fast enough to work at the scale of a large platform.,
Partner,Gain,Reach / Trust,Operating with a platform as large as Roblox gives Persona real-world deployment scale and evidence that its verification technology can operate at high volume.,
Partner,Pain,Error / Bias,Age estimation has to be accurate and fair enough to avoid putting people into the wrong age group.,
Partner,Transaction,Age Signal,"Persona's key output is an estimated age signal. Roblox—not Persona—uses that signal to decide age group, chat and content access.","← Consumer · Selfie — For facial age estimation, the Player supplies Persona with a short selfie-style video through the Roblox age-check flow. | → Owner · Estimate — Persona returns an age estimate that Roblox can use as an input to its own age-group and access rules."
Partner,Filter,Privacy Rules,Participation is constrained by privacy and data-protection requirements; Roblox says Persona deletes selfie images and video after processing.,
Partner,Access Channel,API,The integration is modeled as a software/API connection through which the Roblox age-check flow sends the request and receives the result.,
Partner,Activities,Check / Delete,Persona analyzes the short selfie video to estimate age and deletes the images/video after secure processing.,
Partner,Resources,Models / Data,Persona contributes the age-estimation software plus data and models used to train and test it.,
