Perspective,Row Type,Field,Value,Direction,Counterparty,Flow,Explanation
Owner,field,Actor,Scalable,,,,Scalable remains the Owner of the brokerage platform.
Owner,field,Job,Enable Trade,,,,"Scalable keeps the account, accepts instructions and makes regulated investing and execution possible."
Owner,field,Gain,Reach,,,,"Opening the platform to outside AI assistants gives Scalable more ways to reach customers, including from interfaces it does not own."
Owner,field,Pain,Distance,,,,AI Partners can own more of the first customer conversation. Scalable becomes easier to reach but potentially less visible.
Owner,field,Transaction,Route / Settle,,,,Scalable routes the order into the market and remains responsible for the regulated brokerage process around the transaction.
Owner,transaction_flow,↳,← Consumer · Request,incoming,Consumer,Request,"Investor sends a trading, savings-plan or account-related request to Scalable."
Owner,transaction_flow,↳,→ Consumer · Trade,outgoing,Consumer,Trade,Scalable returns the resulting trade or brokerage response to the investor.
Owner,transaction_flow,↳,→ Provider · Order,outgoing,Provider,Order,Scalable routes the approved order to a trading venue for execution.
Owner,transaction_flow,↳,← Provider · Fill,incoming,Provider,Fill,The trading venue returns the execution or fill to Scalable.
Owner,transaction_flow,↳,← Partner · Request,incoming,Partner,Request,"After authentication, the AI assistant sends the permitted request to Scalable through MCP."
Owner,transaction_flow,↳,→ Partner · Data,outgoing,Partner,Data,"Scalable returns permitted account, portfolio or market data through MCP while regulated approvals remain with Scalable."
Owner,field,Governance,Approve / 2FA,,,,"Login, two-factor authentication and explicit order approval remain inside Scalable's regulated process."
Owner,field,Promotion Channel,Ads / Refer,,,,Scalable can still grow through normal marketing and its customer referral programme.
Owner,field,Activities,Route / Check,,,,"Scalable checks the instruction, provides required information and routes the approved order."
Owner,field,Resources,License / Tech,,,,"Regulatory permission and technology connect brokerage accounts to markets and, after the opening, to AI assistants."
Consumer,field,Actor,Investors,,,,People using Scalable to manage and invest their own money.
Consumer,field,Job,Grow Wealth,,,,Investors use the brokerage with the aim of growing their money over time.
Consumer,field,Gain,Choice / Ease,,,,Investors value broad investment choice while also wanting that choice to be easy to act on.
Consumer,field,Pain,Effort / Risk,,,,Investing requires work and every investment can lose money.
Consumer,field,Transaction,Order / Pay,,,,Investors send orders and use money in their brokerage account to buy securities.
Consumer,transaction_flow,↳,→ Owner · Request,outgoing,Owner,Request,"Investor sends a trading, savings-plan or account-related request to Scalable."
Consumer,transaction_flow,↳,← Owner · Trade,incoming,Owner,Trade,Scalable returns the resulting trade or brokerage response to the investor.
Consumer,transaction_flow,↳,→ Partner · Prompt,outgoing,Partner,Prompt,Investor expresses an information or action request in natural language to the AI assistant.
Consumer,transaction_flow,↳,← Partner · Insight,incoming,Partner,Insight,"The AI assistant returns information, analysis or a proposed action to the investor."
Consumer,field,Filter,Account / 2FA,,,,"The investor needs a Scalable account, login and two-factor authentication. Agentic access does not remove these requirements."
Consumer,field,Access Channel,App / Agent,,,,"The investor can still start in Scalable's own app or website, but can now also begin inside an outside AI assistant."
Consumer,field,Activities,Ask / Trade,,,,The interaction can now begin conversationally through an AI assistant rather than only through screen-based search and tapping.
Consumer,field,Resources,Cash / Data,,,,Investors bring money to invest and personal account data that makes portfolio analysis possible.
Provider,field,Actor,Venues,,,,"Trading venues such as the European Investor Exchange, gettex and Xetra execute market orders."
Provider,field,Job,Fill Orders,,,,The venue brings buyers and sellers together so an order can be filled.
Provider,field,Gain,Volume / Fees,,,,"More trading can create more volume and, depending on the venue, more trading-related revenue."
Provider,field,Pain,Spreads / Risk,,,,"The venue has to manage liquidity, prices and market risk while keeping trading orderly."
Provider,field,Transaction,Quote / Fill,,,,"The venue provides prices and, when an order matches, an execution fill."
Provider,transaction_flow,↳,← Owner · Order,incoming,Owner,Order,Scalable routes the approved order to a trading venue for execution.
Provider,transaction_flow,↳,→ Owner · Fill,outgoing,Owner,Fill,The trading venue returns the execution or fill to Scalable.
Provider,field,Filter,Listed,,,,A security has to be available on the relevant venue before it can be traded there.
Provider,field,Access Channel,Exchange,,,,Scalable connects to the venue through the exchange's trading system.
Provider,field,Activities,Match / Fill,,,,The venue repeatedly matches orders and confirms executions.
Provider,field,Resources,Book / Flow,,,,The venue contributes an order book and trading flow: the supply and demand needed for a market to work.
Partner,field,Actor,Agents,,,,"Outside AI assistants such as ChatGPT, Claude or Grok enter as a new Partner layer between the investor and Scalable."
Partner,field,Job,Help Users,,,,"The AI Partner helps investors analyse, understand and interact with their brokerage."
Partner,field,Gain,Usage / Reach,,,,The AI provider can gain usage while extending its reach into brokerage interactions.
Partner,field,Pain,Trust / Rules,,,,"Agentic brokerage interaction operates within trust, permission and regulatory constraints."
Partner,field,Transaction,Intent / Data,,,,The Partner mediates user intent and relevant brokerage data between the investor and Scalable.
Partner,transaction_flow,↳,← Consumer · Prompt,incoming,Consumer,Prompt,Investor expresses an information or action request in natural language to the AI assistant.
