Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Gear Listing,"The Gear Listing is the Core Value Unit: a seller-created offer for a specific new, used or vintage instrument or piece of music gear, including photos, condition, price, shipping terms and product details that a Buyer can discover, compare, negotiate over and purchase.",
Owner,Actor,Reverb,"Reverb owns and operates the specialist music-gear marketplace. Since June 2, 2025 it has again been a privately held, independently operated company backed by Creator Partners and Servco after Etsy completed its sale of Reverb.",
Owner,Job,Run Gear Market,Reverb must create enough trusted liquidity in a specialist category for Buyers to find the right gear and Sellers to reach knowledgeable demand.,
Owner,Gain,Fees / Liquidity,"Successful transactions generate selling and payment-related revenue while deeper marketplace activity improves selection, price signals and repeat participation.",
Owner,Pain,Trust / Friction,"Reverb must control misleading listings, off-platform leakage, payment and shipping problems, poor pricing, fraud and cross-border friction without making participation too cumbersome.",
Owner,Transaction,Match,"Reverb matches Buyers with Gear Listings, supports offers and checkout, coordinates payment, protection, shipping information and dispute handling.","← Consumer · Payment — Buyers pay through Reverb checkout when purchasing a Gear Listing. | → Consumer · Discovery — Reverb provides specialist search, recommendations, pricing signals, checkout and Buyer Protection around marketplace purchases. | ← Provider · Listing — Sellers contribute Gear Listings and pay Reverb selling and related transaction fees when items sell. | → Provider · Demand — Reverb exposes Seller inventory to millions of specialist Buyers and provides pricing, shop, payment and support tools. | → Partner · Label — Reverb supplies order and label information through its shipping integrations and partner services. | ← Partner · Status — Carrier tracking and delivery status return to Reverb so the platform can update the order, support protection and coordinate payout."
Owner,Governance,Listing Standards,"Reverb governs category fit, original photography, accurate condition and product data, prohibited goods, pricing behavior, duplicate listings and the requirement to keep transactions on-platform.",
Owner,Promotion Channel,Content / Feed,"Reverb drives discovery through search, personalized feeds, saved searches, price-drop alerts, editorial content, artist stories, emails and seller promotion tools such as Bump.",
Owner,Activities,Match / Protect,"Reverb operates search and discovery, product data, offers, checkout, payments, protection, seller tools, support, shipping integrations and marketplace integrity.",
Owner,Resources,Gear Data,"Reverb’s specialist product catalog, Price Guide, transaction history, search and recommendation data, seller network, brand and musician-focused product knowledge are core resources.",
Consumer,Actor,Buyers,"Musicians, producers, collectors and other gear buyers use Reverb to find new, used and vintage music gear from specialist shops and individual sellers around the world.",
Consumer,Job,Find Gear,"Buyers want to find the right instrument or piece of gear for their sound, budget and use case, including rare or discontinued products that may be hard to source locally.",
Consumer,Gain,Choice / Price,"A specialized global marketplace offers broad selection, transparent market signals, negotiation through offers and the possibility of buying used gear below typical retail pricing.",
Consumer,Pain,Condition / Risk,"Buyers face uncertainty about condition, accurate descriptions, shipping damage, seller reliability, cross-border duties and whether a used instrument will arrive as expected.",
Consumer,Transaction,Buy Gear,Buyers purchase or make offers on Gear Listings through Reverb and keep payment and order communication on-platform to qualify for marketplace protection.,"→ Owner · Payment — Buyers pay through Reverb checkout when purchasing a Gear Listing. | ← Owner · Discovery — Reverb provides specialist search, recommendations, pricing signals, checkout and Buyer Protection around marketplace purchases. | → Provider · Offer — Buyers can message Sellers and make purchase offers on eligible listings. | ← Provider · Gear — Sellers supply the purchased instrument or equipment and fulfill the order to the Buyer. | → Partner · Address — Buyer delivery information is incorporated into the shipment so the Carrier can complete delivery. | ← Partner · Delivery — Carriers deliver the purchased gear and provide the physical fulfillment of the marketplace transaction."
Consumer,Filter,Account / Region,"Purchase options depend on account, seller shipping regions, item restrictions and supported payment or delivery conditions.",
Consumer,Access Channel,App / Web,"Buyers browse and purchase through Reverb’s website and mobile app, using search, filters, saved listings, feeds, alerts and price information.",
Consumer,Activities,Search / Buy,"Buyers search, compare, save, message, make offers, purchase, track orders and resolve issues when needed.",
Consumer,Resources,Budget / Taste,"Buyers contribute purchasing power, musical preferences, product knowledge, search and save signals, messages, offers and transaction history.",
Provider,Actor,Sellers,"Providers range from individual musicians and collectors to independent music shops, dealers, manufacturers and larger retailers that supply the marketplace with gear.",
Provider,Job,Sell Gear,Sellers want to turn instruments and equipment into cash while reaching buyers who understand the category and are actively looking for music gear.,
Provider,Gain,Reach / Income,"Reverb gives Sellers access to a global specialist audience, pricing guidance, seller tools and optional paid visibility through Bump.",
