Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,AI Model,"The AI model is the central unit Users come to OpenRouter to discover, choose and use through a common interface.",
Owner,Actor,OpenRouter,OpenRouter owns and orchestrates the AI routing marketplace at the snapshot date.,
Owner,Job,Route AI,OpenRouter's core job is orchestration: connecting Users with many sources of AI and making a fragmented market easier to use.,
Owner,Gain,Growth / Reach,"More Users, Providers and AI usage increase the volume and reach of the routing network.",
Owner,Pain,Sprawl / Trust,"As the market fragments and Users delegate more routing choices, OpenRouter has to manage complexity while preserving trust in its neutrality and decisions.",
Owner,Transaction,Match / Settle,OpenRouter matches demand with AI supply and sits inside the commercial relationship between Users and Providers.,"← Consumer · Payment — Users send requests through OpenRouter and pay for the AI usage there. | → Consumer · Output — The model result returns through OpenRouter, so the User does not need a separate connection to the Provider that served the request. | ← Provider · Inference — Providers supply the inference service that actually runs the selected model request. | → Provider · Payout — OpenRouter pays Providers according to the inference Users consume. | → Partner · Usage — Usage information generated through OpenRouter feeds the billing relationship so consumption can be priced and billed. | ← Partner · Billing — Stripe supplies billing, payment collection, tax and fraud infrastructure back into OpenRouter's transaction layer."
Owner,Governance,Ranking / Policies,"OpenRouter measures provider conditions and applies routing, privacy and policy rules that can influence which suppliers receive traffic.",
Owner,Promotion Channel,Tools / Apps,"Developer integrations, compatible tools and applications spread the gateway through existing AI workflows.",
Owner,Activities,Route / Monitor,"OpenRouter continuously routes requests and monitors provider price, performance, reliability and availability.",
Owner,Resources,Data / Network,Traffic across many models and Providers gives OpenRouter network reach and cross-market information about demand and performance.,
Consumer,Actor,Users,"Developers and companies use OpenRouter to access AI models inside products, tools and workflows.",
Consumer,Job,Build / Scale,Users want to build and scale AI applications without maintaining a separate technical relationship with every model supplier.,
Consumer,Gain,Choice / Backup,One gateway gives Users broad model choice while fallbacks and multi-provider routing can improve reliability.,
Consumer,Pain,Setup / Downtime,"Fragmented suppliers create separate integrations, pricing structures and failure points, while applications still need to keep working.",
Consumer,Transaction,Request / Pay,"Users send AI requests through OpenRouter and pay for the usage there, placing the platform inside both the technical and commercial relationship.","→ Owner · Payment — Users send requests through OpenRouter and pay for the AI usage there. | ← Owner · Output — The model result returns through OpenRouter, so the User does not need a separate connection to the Provider that served the request."
Consumer,Filter,Account / Policy,"Access depends on an account, credentials and the policies that govern which models and providers may be used.",
Consumer,Access Channel,Unified API,The main access channel is a unified API that lets developers connect once and use many models without rebuilding each supplier integration.,
Consumer,Activities,Choose / Set,"Users choose models and can configure provider order, price limits, fallbacks and other routing preferences.",
Consumer,Resources,Key / Credits,"Users mainly bring an API key and credits, together with their own code, prompts and application data.",
Provider,Actor,Providers,AI model companies and inference infrastructure providers supply the model access and computing capacity that OpenRouter routes to Users.,
Provider,Job,Earn Revenue,Providers want to monetize the models and inference capacity they make available.,
Provider,Gain,Reach / Traffic,OpenRouter can give Providers reach into a large developer base and more opportunities to use costly computing capacity productively.,
Provider,Pain,Demand / Uptime,Providers need sufficient demand while maintaining reliability and performance; weak uptime can reduce routing priority.,
Provider,Transaction,AI Service,Providers supply inference — the computing service that runs the selected model and produces the response.,→ Owner · Inference — Providers supply the inference service that actually runs the selected model request. | ← Owner · Payout — OpenRouter pays Providers according to the inference Users consume.
Provider,Filter,Uptime / Rules,"Providers must meet technical, reliability, pricing, performance and data-policy requirements before and after joining the network.",
Provider,Access Channel,Inference API,Providers connect their individual inference services behind OpenRouter's common customer-facing interface.,
Provider,Activities,Serve / Optimize,"Providers serve requests and improve price, speed, reliability and tool-calling performance because those signals can affect traffic allocation.",
Provider,Resources,Models / Compute,Providers bring the scarce assets OpenRouter does not need to own itself: AI models and the compute required to run them.,
Partner,Actor,Stripe,"Before the announced acquisition, Stripe was already a critical financial infrastructure Partner inside OpenRouter's transaction layer.",
Partner,Job,Enable Trade,Stripe provides financial infrastructure that helps AI businesses turn usage into revenue and operate globally.,
Partner,Gain,Growth / Volume,"As OpenRouter and AI usage grow, Stripe can gain more billing and payment activity around that growth.",
Partner,Pain,Billing / Fraud,"AI usage is variable, model costs change, customers are global and payment fraud still has to be managed.",
Partner,Transaction,Payments / Billing,Stripe helps convert OpenRouter usage into invoices and payments while supporting tax and fraud management.,"← Owner · Usage — Usage information generated through OpenRouter feeds the billing relationship so consumption can be priced and billed. | → Owner · Billing — Stripe supplies billing, payment collection, tax and fraud infrastructure back into OpenRouter's transaction layer."
Partner,Filter,Tech / Rules,"The financial Partner has to integrate technically while operating within payment, tax and risk requirements.",
Partner,Access Channel,Stripe APIs,Stripe connects through its software and payment infrastructure rather than through the consumer-facing model marketplace.,
Partner,Activities,Bill / Protect,"Stripe turns usage into bills, collects payments and helps protect the transaction from fraud.",
Partner,Resources,Rails / Risk,"Stripe contributes global payment rails plus billing, tax and risk capabilities OpenRouter does not need to build from scratch.",
