Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Watch Listing,"The Watch Listing is the Core Value Unit: a specific watch offer with price, condition, images and provenance information that a Buyer can discover and evaluate. Certified status can strengthen a listing, but certification is not required for every listing and is therefore not part of the CVU definition itself.",
Owner,Actor,Chrono24,"Chrono24 operates the global specialist marketplace and controls its discovery, escrow, Buyer Protection and Certified trust architecture.",
Owner,Job,Scale Trusted Trade,"Chrono24 must make a fragmented, cross-border and high-value watch market liquid enough to transact safely online.",
Owner,Gain,Liquidity / Trust,"More credible inventory and qualified demand reinforce marketplace liquidity, reputation and transaction-related revenue.",
Owner,Pain,Fraud / Authenticity,"Counterfeits, stolen watches, poor Seller behavior and payment risk can quickly destroy confidence in a specialist marketplace.",
Owner,Transaction,Match / Escrow,Chrono24 coordinates discovery and can hold Buyer funds in escrow until the delivery conditions associated with the transaction are satisfied.,"← Consumer · Order / Pay — Buyers place orders and, for supported transactions, send payment into Chrono24's escrow flow. | → Consumer · Discovery / Protect — Chrono24 provides marketplace discovery, Buyer Protection, escrow coordination and access to Certified options. | ← Provider · Listing / Fees — Providers supply watch listings and pay the relevant marketplace fees or commissions. | → Provider · Demand / Payout — Chrono24 provides access to qualified Buyers and releases escrowed Seller proceeds when the transaction conditions are met. | → Partner · Standard / Cases — Chrono24 defines the Certified standard, audits Watchmakers and routes eligible certification cases into the Watchmaker layer. | ← Partner · Result / Certificate — Verified Watchmakers return the inspection result that Chrono24 uses for the digital certificate and authenticity guarantee."
Owner,Governance,Verify / Protect,"Chrono24 governs Seller verification, ownership checks, escrow, reviews, Buyer Protection and the common Certified authenticity standard.",
Owner,Promotion Channel,Search / Content,"Chrono24 attracts watch enthusiasts through search, pricing tools, editorial content, specialist events and its luxury-watch brand.",
Owner,Activities,Match / Protect,"Chrono24 operates listings, search, pricing intelligence, escrow, Buyer Protection and certification orchestration.",
Owner,Resources,Data / Trust,"Marketplace demand, watch pricing history, Seller relationships, transaction data and trust systems are strategic resources.",
Consumer,Actor,Buyers,"Collectors, enthusiasts and other Buyers use Chrono24 to search globally for new, pre-owned and vintage luxury watches.",
Consumer,Job,Buy Watch,Buyers want to find the right watch at a credible price and complete a high-value purchase safely.,
Consumer,Gain,Choice / Trust,"Global inventory, market information, escrow, Buyer Protection and optional certification reduce the friction of buying across borders.",
Consumer,Pain,Fake / Overpay,"Counterfeits, unclear provenance, condition uncertainty, cross-border complexity and price dispersion create substantial purchase risk.",
Consumer,Transaction,Order / Pay,"For supported purchases, Buyers order through Chrono24 and transfer payment into the marketplace's escrow flow.","→ Owner · Order / Pay — Buyers place orders and, for supported transactions, send payment into Chrono24's escrow flow. | ← Owner · Discovery / Protect — Chrono24 provides marketplace discovery, Buyer Protection, escrow coordination and access to Certified options. | → Provider · Order / Review — Buyer orders create direct demand for the Provider's watch and completed transactions can create Seller-review signals. | ← Provider · Watch — The Provider ultimately supplies the purchased watch to the Buyer, directly or through the certification route. | ← Partner · Certificate — For Certified transactions, the verified Watchmaker's authentication result underpins the digital Certificate of Authenticity and assurance received by the Buyer."
Consumer,Filter,Account / Payment,"Purchasing depends on account, payment and transaction eligibility plus the rules associated with the relevant Seller type and market.",
Consumer,Access Channel,Web / App,Buyers access the marketplace through Chrono24's website and mobile applications.,
Consumer,Activities,Search / Compare,"Buyers search listings, compare prices and condition, communicate with Sellers and evaluate certification and protection options.",
Consumer,Resources,Budget / Knowledge,"Buyers contribute purchasing power, brand and model knowledge, preferences and transaction feedback.",
Provider,Actor,Dealers / Sellers,Professional dealers and private Sellers provide the watch inventory. Chrono24 also increasingly gives independent watch brands direct marketplace access.,
Provider,Job,Sell Watches,Providers want to reach qualified international Buyers and convert watch inventory into sales.,
Provider,Gain,Reach / Price,"A specialist global audience, pricing information and trust mechanisms can improve market reach and support better selling outcomes.",
Provider,Pain,Fraud / Fees,"Providers face payment risk, shipping complexity, marketplace fees, listing effort and uncertainty around time-to-sale.",
Provider,Transaction,List / Ship,"Providers create the offer and, after a successful transaction, ship the sold watch either toward the Buyer or into a required certification route.","→ Owner · Listing / Fees — Providers supply watch listings and pay the relevant marketplace fees or commissions. | ← Owner · Demand / Payout — Chrono24 provides access to qualified Buyers and releases escrowed Seller proceeds when the transaction conditions are met. | ← Consumer · Order / Review — Buyer orders create direct demand for the Provider's watch and completed transactions can create Seller-review signals. | → Consumer · Watch — The Provider ultimately supplies the purchased watch to the Buyer, directly or through the certification route. | → Partner · Watch — In a certification workflow, the Provider's watch is submitted to a verified Watchmaker for inspection, either before shipment or through a certification center. | ← Partner · Verification — The Watchmaker's verified result strengthens the Provider's offer and, in Certified transactions, reduces authenticity-related dispute risk."
Provider,Filter,Identity / Quality,"Chrono24 verifies professional dealers and private Seller ownership and applies listing, authenticity and conduct requirements.",
Provider,Access Channel,Seller Tools,"Providers use listing tools, dealer accounts and marketplace-management interfaces.",
Provider,Activities,List / Ship,"Providers describe, photograph and price watches, respond to Buyers and fulfill completed sales.",
Provider,Resources,Watch / Provenance,"Providers contribute the watch, condition and provenance information, images and fulfillment capability.",
Partner,Actor,Verified Watchmakers,Verified Watchmakers form the specialist authentication Partner layer. Chrono24 audits their qualifications and equipment and uses them across Partner Certified and certification-center workflows under one platform-defined authenticity standard.,
Partner,Job,Verify Watches,Watchmakers determine whether eligible watches meet Chrono24's authenticity and functionality criteria.,
Partner,Gain,Volume / Reputation,Certified transactions create specialist service volume and reinforce the value and reputation of professional watchmaking expertise.,
Partner,Pain,Error / Liability,"A wrong authentication result can create reputational, operational and financial consequences in a high-value market.",
Partner,Transaction,Inspect / Certify,The Watchmaker inspects an eligible watch and produces the authentication result used for Chrono24's digital certificate and guarantee.,"→ Consumer · Certificate — For Certified transactions, the verified Watchmaker's authentication result underpins the digital Certificate of Authenticity and assurance received by the Buyer. | ← Provider · Watch — In a certification workflow, the Provider's watch is submitted to a verified Watchmaker for inspection, either before shipment or through a certification center. | → Provider · Verification — The Watchmaker's verified result strengthens the Provider's offer and, in Certified transactions, reduces authenticity-related dispute risk. | ← Owner · Standard / Cases — Chrono24 defines the Certified standard, audits Watchmakers and routes eligible certification cases into the Watchmaker layer. | → Owner · Result / Certificate — Verified Watchmakers return the inspection result that Chrono24 uses for the digital certificate and authenticity guarantee."
Partner,Filter,Skill / Audit,"Chrono24 verifies participating Watchmakers' qualifications, experience and technical equipment.",
Partner,Access Channel,Certified Network,Partner Certified and Chrono24 Certified connect verified Watchmakers to eligible marketplace transactions.,
Partner,Activities,Inspect / Certify,"Watchmakers perform authenticity, functionality, serial and theft-related checks according to the Certified standard.",
Partner,Resources,Expertise / Tools,"Watchmakers contribute specialist knowledge, diagnostic equipment and professional judgment.",
