Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Product,"The Product is the Core Value Unit in this EU marketplace case: the item a Shopper can discover, compare and order through Temu.",
Owner,Actor,Temu,"Temu operates the marketplace between Shoppers, Sellers and Promoters, sets participation rules, shapes discovery and helps transactions happen.",
Owner,Job,Grow Trade,Temu's job is to make useful transactions happen at scale by connecting demand with outside supply.,
Owner,Gain,Scale / Fees,More successful purchases can increase the value of Temu's merchant transaction and marketing services.,
Owner,Pain,Safety Risk,"As the marketplace scales, unsafe or illegal Products can also gain more opportunities to be discovered and promoted.",
Owner,Transaction,Match / Settle,Temu coordinates the match and helps the purchase move from discovery to payment.,"← Consumer · Payment — The Shopper's payment moves through Temu's marketplace flow. | → Consumer · Discovery — Temu shapes Product discovery through search, recommendations and deals. | ← Provider · Fees — Sellers pay for services connected with transactions and promotion. | → Provider · Traffic — Temu gives Sellers access to a large pool of potential Buyers. | → Partner · Reward — When a referral qualifies, Temu can return part of the value as a commission or reward. | ← Partner · Traffic — Referral clicks and visits bring additional demand into Temu's marketplace."
Owner,Governance,Rank / Rules,"Temu governs who can sell, what can remain on the marketplace and how Products are ranked or recommended.",
Owner,Promotion Channel,Ads / Deals,"Advertising, discounts, deals and referrals push additional demand into the platform.",
Owner,Activities,Rank / Review,"Temu simultaneously helps Products get found and reviews marketplace risks, Sellers, Products and content against its rules.",
Owner,Resources,Data / Reach,A large audience attracts supply while Shopper behavior provides data that helps Temu decide what to surface next.,
Consumer,Actor,Shoppers,Shoppers are the Consumer side: people looking for inexpensive products and deals in Temu's EU marketplace.,
Consumer,Job,Find Deals,Shoppers come looking for useful products at prices that feel like a deal.,
Consumer,Gain,Low Price,Low price and broad choice are central parts of Temu's value proposition to Shoppers.,
Consumer,Pain,Bad Goods,"A cheap product stops being a bargain when it is unsafe, illegal, non-compliant or materially different from what the listing suggests.",
Consumer,Transaction,Order / Pay,"Once a Shopper chooses a Product, interest turns into an order and payment.","→ Provider · Order — When a Shopper buys, the order ultimately reaches the Seller through the platform-mediated transaction. | ← Provider · Product — The Seller provides the Product the Shopper ultimately receives. | → Owner · Payment — The Shopper's payment moves through Temu's marketplace flow. | ← Owner · Discovery — Temu shapes Product discovery through search, recommendations and deals. | ← Partner · Promo — Promoters pull people toward Products through deals, links and recommendations."
Consumer,Filter,Market,Participation depends primarily on Temu serving the Shopper's market and the Product being available there.,
Consumer,Access Channel,App / Web,Temu's app and website are the main access channels into the marketplace.,
Consumer,Activities,Browse / Buy,"Shoppers search, scroll, compare and buy products.",
Consumer,Resources,Time / Data,"Shopper attention and behavior create data about clicks, ignored offers and purchases that can feed discovery and recommendation.",
Provider,Actor,Sellers,"Outside businesses supply the Products. They form the Provider side of the marketplace and can include merchants, manufacturers and brands.",
Provider,Job,Sell More,Sellers join because Temu can expose their Products to a much larger pool of potential Buyers.,
Provider,Gain,Reach / Sales,Marketplace attention can translate into more reach and sales.,
Provider,Pain,Rules / Cost,"Selling through Temu brings platform rules, intense price competition and the cost and effort of getting goods to customers.",
Provider,Transaction,Goods / Fees,Sellers bring the goods and pay for services connected with marketplace transactions and promotion.,"← Consumer · Order — When a Shopper buys, the order ultimately reaches the Seller through the platform-mediated transaction. | → Consumer · Product — The Seller provides the Product the Shopper ultimately receives. | → Owner · Fees — Sellers pay for services connected with transactions and promotion. | ← Owner · Traffic — Temu gives Sellers access to a large pool of potential Buyers."
Provider,Filter,Verify,Temu's EU Seller Center requires identity or company documentation before a business can start selling.,
Provider,Access Channel,Portal,"Approved Sellers manage Products, orders and logistics through Temu's Seller Portal.",
Provider,Activities,List / Ship,"Sellers update stock, manage Products and orders and arrange shipping.",
Provider,Resources,Stock / Docs,"Sellers contribute the underlying inventory, Product information and the documentation needed to participate.",
Partner,Actor,Promoters,"Promoters are creators, deal pages and other affiliate-program participants that bring outside audiences and traffic into Temu.",
Partner,Job,Earn Fees,Promoters turn outside attention into visits and qualifying orders.,
Partner,Gain,Income,Successful referrals can generate commissions or rewards.,
Partner,Pain,Rules / Trust,Promoter income depends on program rules and retaining enough credibility with an outside audience.,
Partner,Transaction,Traffic / Fees,Outside traffic moves toward Temu while qualifying referrals can earn money in return.,"→ Consumer · Promo — Promoters pull people toward Products through deals, links and recommendations. | ← Owner · Reward — When a referral qualifies, Temu can return part of the value as a commission or reward. | → Owner · Traffic — Referral clicks and visits bring additional demand into Temu's marketplace."
Partner,Filter,Program,Access to this role comes through Temu's Affiliate or related promoter program.,
Partner,Access Channel,Links / Codes,Referral links and codes connect an outside audience back to the marketplace.,
Partner,Activities,Share / Push,"Promoters share products, deals and recommendations outside Temu's own app and advertising.",
Partner,Resources,Audience / Trust,Promoters contribute attention and an audience Temu did not have to build itself.,
