Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,App,"The App is the Core Value Unit: the digital product Users come to discover, install and use across Apple’s App Store, alternative marketplaces or eligible web distribution.",
Owner,Actor,Apple,Apple remains the platform Owner because it owns iOS and iPadOS and controls core technical infrastructure even when an App is distributed through somebody else’s marketplace.,
Owner,Job,Run Platform,"Apple’s job is to operate the iOS and iPadOS app platform while keeping it secure, useful to Users and attractive to Developers.",
Owner,Gain,Scale / Revenue,A larger app ecosystem can make Apple’s devices and operating systems more useful while generating more commercial activity and platform revenue.,
Owner,Pain,Store Bypass,"Alternative marketplaces, Web Distribution and alternative payments allow more of the app-distribution and commerce journey to bypass Apple’s own App Store.",
Owner,Transaction,Access / Fee,"Apple provides access to the underlying platform and can charge for covered commercial activity even when distribution occurs outside its own App Store. Under the August 2026 terms, the Core Technology Commission is 5% on specified digital transactions in alternatively distributed apps beginning October 1, 2026.","← Provider · Fee — Under the announced October 2026 terms, Developers can owe Apple a 5% Core Technology Commission on specified digital sales even when the App was distributed outside Apple’s App Store. | → Provider · Access — Apple provides Developers access to the operating-system platform, developer tools, signing, Notarization and alternative-distribution technologies. | → Partner · APIs — Apple provides authorized alternative marketplaces with MarketplaceKit APIs and system permissions required to install and manage Apps on iOS and iPadOS. | ← Partner · Reports — Alternative marketplaces and Developers report relevant outside transactions to Apple so applicable commissions can be calculated."
Owner,Governance,Rules / Gates,"The DMA constrains Apple’s ability to make its own App Store the only ordinary distribution gate, while Apple still controls technical gates such as Notarization, signing, authorization and system permissions.",
Owner,Promotion Channel,Store / Search,"Apple continues to promote Apps through its own App Store using search, rankings, featuring and discovery.",
Owner,Activities,Sign / Secure,"Apple signs software, runs Notarization and security checks, maintains APIs and enforces platform requirements across distribution routes.",
Owner,Resources,iOS / APIs,"Apple’s critical resources sit underneath competing Stores: iOS, iPadOS, developer tools, software signing and the APIs that distribution routes depend on.",
Consumer,Actor,Users,The Consumer side is iPhone and iPad users in the European Union who want useful apps on the devices they already own.,
Consumer,Job,Get Apps,Users want to get the apps they need onto their iPhone or iPad.,
Consumer,Gain,Choice,The DMA increases choice by giving eligible EU Users additional routes for obtaining apps beyond Apple’s own App Store.,
Consumer,Pain,Friction / Risk,"Different distribution channels can create different support, refund, moderation, payment and trust processes for Users.",
Consumer,Transaction,Install / Pay,"Users install apps and may pay for paid apps, digital goods or subscriptions through the commercial options supported by the chosen distribution route.","→ Provider · Payment — With alternative payment options, the economic payment can go to the Developer without Apple In-App Purchase, although a third-party payment processor may technically mediate the transfer. | ← Provider · App — Developers give Users the App. The distribution source can change while the Core Value Unit stays the same. | ← Partner · Access — An alternative marketplace gives Users another route to discover and install Apps."
Consumer,Filter,EU / Device,"Alternative distribution depends on EU eligibility, a supported iPhone or iPad, an eligible Apple account and the technical requirements of the chosen route.",
