Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Luxury Listing,"The Luxury Listing is the Core Value Unit: a Seller-created offer for a pre-owned designer item, including images, description, condition and price. Tradesy did not take inventory; the listing made Seller-held goods searchable and purchasable.",
Owner,Actor,Tradesy,"Tradesy operated the U.S. peer-to-peer luxury resale marketplace immediately before Vestiaire Collective announced its acquisition on March 15, 2022.",
Owner,Job,Scale Luxury Resale,Tradesy needed to make peer-to-peer luxury transactions easy and trustworthy enough to compete with inventory-heavy consignment models.,
Owner,Gain,Commission / Liquidity,More high-quality listings and Buyer demand increased transaction liquidity and commission revenue without requiring Tradesy to buy inventory.,
Owner,Pain,Trust / Scale,"Counterfeits, fraud, returns and inconsistent Seller execution threatened trust, while marketplace liquidity had to compete with larger resale networks.",
Owner,Transaction,Match / Settle,"Tradesy coordinated listing discovery, payment, Seller proceeds, returns and trust mechanisms around the direct Seller-to-Buyer exchange.","← Consumer · Order / Pay — Buyers placed orders and paid through Tradesy's marketplace transaction flow. | → Consumer · Discovery / Protect — Tradesy provided luxury discovery, payment coordination, returns and authenticity-related marketplace protection. | ← Provider · Listing / Commission — Sellers supplied listings and paid Tradesy a commission when an item sold. | → Provider · Demand / Payout — Tradesy exposed listings to Buyer demand and coordinated Seller proceeds after a completed transaction. | → Partner · Workloads / Fees — Tradesy moved marketplace infrastructure workloads and associated cloud spending into the Google Cloud and Insight relationship. | ← Partner · Cloud / Support — Google Cloud and Insight returned scalable infrastructure, migration execution and technical support to Tradesy."
Owner,Governance,Authenticity / Returns,"Tradesy governed listing quality, fraud, authenticity disputes, Seller performance and its return and authenticity guarantee.",
Owner,Promotion Channel,Search / Fashion,"Tradesy attracted users through search, fashion media, social channels, referrals and its luxury-resale positioning.",
Owner,Activities,Match / Protect,"Tradesy operated discovery, pricing technology, photo enhancement, payments, returns, customer support, fraud detection and marketplace trust.",
Owner,Resources,Brand / Data / Tech,"Its member network, luxury transaction data, pricing and fraud technology, marketplace software and trust processes were key resources.",
Consumer,Actor,Buyers,"Fashion-conscious Buyers searched Tradesy for pre-owned designer handbags, clothing, shoes and accessories at prices below primary-market retail.",
Consumer,Job,Buy Designer Resale,Buyers wanted desirable luxury and designer pieces at lower prices without accepting the full counterfeit and transaction risk of an unstructured resale market.,
Consumer,Gain,Value / Trust,"Tradesy offered curated luxury discovery, a clean shopping interface, returns support and an authenticity guarantee.",
Consumer,Pain,Fake / Fit / Delay,"Luxury resale creates uncertainty around authenticity, condition, fit, pricing and shipping time.",
Consumer,Transaction,Order / Pay,Buyers purchased through Tradesy's marketplace transaction and payment flow rather than paying Sellers off-platform.,"→ Owner · Order / Pay — Buyers placed orders and paid through Tradesy's marketplace transaction flow. | ← Owner · Discovery / Protect — Tradesy provided luxury discovery, payment coordination, returns and authenticity-related marketplace protection. | → Provider · Demand / Review — Buyer purchases and transaction feedback created demand and reputation signals for the Seller. | ← Provider · Luxury Item — The Seller retained inventory and shipped the sold luxury item directly to the Buyer."
Consumer,Filter,Account / Payment,"Participation depended on account and payment access plus Tradesy's fraud, listing and transaction controls.",
Consumer,Access Channel,Web / App,Buyers accessed Tradesy through its website and mobile applications.,
