Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Ride,"The Ride remains the Core Value Unit. Riders do not come to Uber to buy an autonomy stack, depot service or Driver; they come to obtain transportation from pickup to destination.",
Owner,Actor,Uber,Uber owns and orchestrates the marketplace that connects Riders with human and autonomous ride supply.,
Owner,Job,Scale Rides,"For this case, Uber's job is to scale completed rides by keeping enough supply available for demand. This is a marketplace problem before it is a vehicle-technology problem.",
Owner,Gain,Growth / Fees,"More fulfilled demand means more trips, more marketplace activity and more fee-generating transactions for Uber.",
Owner,Pain,Shortage / Lock-in,"Too little capacity creates long waits and lost demand, while excessive dependence on one autonomous supplier could create strategic lock-in.",
Owner,Transaction,Match / Settle,"Uber matches Riders with available ride supply and coordinates pricing, payment and the commercial flow around the trip.","← Consumer · Payment — The Rider pays through Uber, so the customer transaction still enters through the platform. | → Consumer · Match — Uber returns the coordination layer: a suitable match, pricing, payment handling and the marketplace experience around the trip. | ← Provider · Supply — Providers give Uber mobility supply. Robotaxis matter because that supply can now grow through autonomous fleets as well as human Drivers. | → Provider · Payout — After completed trips, Uber coordinates the Provider-side commercial flow. Exact economics vary across human and autonomous arrangements."
Owner,Governance,Price / Safety,"Uber governs matching and pricing logic, participation eligibility and safety expectations across both human and autonomous supply.",
Owner,Promotion Channel,Offers / Deals,"Uber grows demand through marketing and ride options while adding supply through commercial agreements, launches and investments with mobility providers.",
Owner,Activities,Match / Enable,"Uber increasingly does more than match rides. Its Autonomous Solutions layer supports AV commercialization with capabilities such as data, mapping, fleet operations, regulatory support and customer operations.",
Owner,Resources,Demand / Data,"Uber's key resource for new Providers is aggregated demand, reinforced by marketplace data, operating knowledge and a global customer interface.",
Consumer,Actor,Riders,Riders are the Consumer side of the mobility marketplace: people who want transportation through Uber regardless of whether the underlying ride is human-driven or autonomous.,
Consumer,Job,Get Around,The Rider's basic job is to move from one place to another.,
Consumer,Gain,Fast / Easy,"Riders value a fast, easy trip with as little coordination as possible.",
Consumer,Pain,Wait,Waiting is a clear supply-side friction. More available ride capacity can help reduce unmet demand during busy periods or in places where too few human Drivers are available.,
Consumer,Transaction,Request / Pay,The Rider requests transportation and pays through Uber's marketplace.,"→ Owner · Payment — The Rider pays through Uber, so the customer transaction still enters through the platform. | ← Owner · Match — Uber returns the coordination layer: a suitable match, pricing, payment handling and the marketplace experience around the trip. | ← Provider · Ride — The Provider gives the Rider the Ride, whether the capacity is human-driven or autonomous."
Consumer,Filter,Account / Area,"Riders need an account, while autonomous ride options remain limited to approved operating areas, eligible trips and available vehicles.",
Consumer,Access Channel,Uber App,The Rider enters through the Uber app. The underlying Provider can change while the customer-facing access channel stays the same.,
Consumer,Activities,Request / Ride,Riders request transportation through the app and then take the matched ride.,
Consumer,Resources,Phone / Budget,"Riders bring a connected device, destination, payment capability and the budget to purchase mobility.",
Provider,Actor,Drivers / AV Fleets,The Provider side can contain both human Drivers and autonomous fleets because both supply the same thing the Rider needs: ride capacity.,
Provider,Job,Get Paid,Providers turn available mobility capacity into earnings. For a person this means income; for an autonomous operator it means revenue from a costly vehicle fleet.,
Provider,Gain,Demand / Yield,"Human Drivers want productive time, while autonomous fleet economics improve when expensive vehicles spend more time serving paid trips.",
Provider,Pain,Idle / Cost,The common Provider pain is idle capacity and operating cost. Autonomy removes the human driving task but does not remove the economics of keeping mobility capacity productive.,
Provider,Transaction,Ride / Earn,Providers contribute ride capacity and receive earnings from completed marketplace transactions.,"→ Owner · Supply — Providers give Uber mobility supply. Robotaxis matter because that supply can now grow through autonomous fleets as well as human Drivers. | ← Owner · Payout — After completed trips, Uber coordinates the Provider-side commercial flow. Exact economics vary across human and autonomous arrangements. | → Consumer · Ride — The Provider gives the Rider the Ride, whether the capacity is human-driven or autonomous. | → Partner · Fleet — Where FleetOps is separated from the Provider, vehicles and operating capacity are handed into the support layer for day-to-day care. | ← Partner · Uptime — FleetOps returns more fleet capacity charged, maintained, repaired, cleaned and ready to serve demand."
Provider,Filter,Safety / Rules,"Human Drivers face licensing and platform requirements. Autonomous Providers face safety standards, regulation, technical integration and operating approvals.",
Provider,Access Channel,App / API,"Human Drivers typically connect to demand through the Driver app, while autonomous fleets connect through technical integrations, fleet systems and APIs.",
Provider,Activities,Drive / Operate,"Humans drive trips. Autonomous Providers deploy and operate vehicles, keep capacity available and manage the systems around the fleet.",
Provider,Resources,Time / Fleet,"The key resource differs by Provider type: human Drivers contribute time and a vehicle, while autonomous operators contribute fleet capacity.",
Partner,Actor,FleetOps,Fleet Operations actors support autonomous ride capacity without necessarily being the Ride Provider. They keep vehicles physically and operationally ready for service.,
Partner,Job,Run Fleets,FleetOps providers keep commercial fleets operating reliably at scale.,
Partner,Gain,Scale / Volume,"As autonomous fleets expand, FleetOps providers can gain more service volume and a larger operating footprint.",
Partner,Pain,Downtime / Cost,"Downtime and operating cost make fleet capacity less productive, so FleetOps providers have to keep vehicles available while controlling service costs.",
Partner,Transaction,Fleet Care,The Partner transaction is fleet care: keeping vehicles operational rather than supplying the Ride itself.,"← Provider · Fleet — Where FleetOps is separated from the Provider, vehicles and operating capacity are handed into the support layer for day-to-day care. | → Provider · Uptime — FleetOps returns more fleet capacity charged, maintained, repaired, cleaned and ready to serve demand."
Partner,Filter,Safety / Rules,"Fleet operations sit inside safety, regulatory, insurance and service-quality requirements.",
Partner,Access Channel,Depots / API,"The FleetOps interface is both physical and digital: depots and service facilities on one side, fleet-management software and data connections on the other.",
Partner,Activities,Charge / Repair,"Typical FleetOps activities include charging, maintenance, repairs, cleaning, inspections and operational intervention.",
Partner,Resources,Depots / Staff,"FleetOps contributes depots, equipment, technicians, operating staff and fleet-management capability.",
