Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Fashion Listing,"The Fashion Listing is the Core Value Unit: a Seller-created offer combining the item, images, description, condition, price and style signals that Buyers can discover, like, message about and purchase.",
Owner,Actor,Depop (eBay),"eBay completed its acquisition of Depop on July 30, 2026. Depop continues to operate as a distinct brand, platform and customer experience within eBay.",
Owner,Job,Scale Circular Fashion,"Depop must grow second-hand fashion transactions while preserving the discovery, culture and peer-to-peer experience that differentiate it from general marketplaces.",
Owner,Gain,GMS / Fees,"More successful transactions increase marketplace fee, payment and boosting revenue while strengthening liquidity and network effects.",
Owner,Pain,Identity / Trust,"Depop must control fraud, counterfeit goods and off-platform leakage while avoiding the loss of cultural distinctiveness as it scales under eBay ownership.",
Owner,Transaction,Match / Protect,"Depop coordinates discovery, messaging, checkout, payment, protection, dispute handling and Seller payout around each transaction.","← Consumer · Order / Pay — Buyers place protected orders and pay through Depop checkout. | → Consumer · Discovery / Protect — Depop provides recommendations, search, messaging, checkout, support and Depop Protection for eligible purchases. | ← Provider · Listing / Fees — Sellers contribute Listings and may pay payment-processing, boosting or market-specific selling fees. | → Provider · Demand / Payout — Depop exposes Seller inventory to Buyer demand and coordinates Seller proceeds after transactions. | → Partner · Payment Instructions — Depop routes checkout, refund and payout instructions through its payment providers. | ← Partner · Processing / Status — Payment providers return authorization, settlement and risk status into Depop's transaction workflow."
Owner,Governance,On-Platform / Allowed Items,"Depop governs prohibited items, counterfeit and dropshipping rules, honest listing content, community behavior and the requirement to keep protected transactions on-platform.",
Owner,Promotion Channel,Feed / Campaigns,"Depop grows demand through personalized discovery, search, app engagement, brand campaigns, creator culture and social media.",
Owner,Activities,Discover / Protect,"Depop operates recommendations and search, listings, messaging, checkout, payments, trust and safety, Buyer/Seller protection, boosting and Seller tools.",
Owner,Resources,Community / Data,"Its Buyer/Seller network, fashion listing corpus, social and recommendation data, brand identity and marketplace technology are core resources.",
Consumer,Actor,Buyers,"Buyers use Depop to discover second-hand fashion through a mix of search, recommendations, social signals and Seller profiles.",
Consumer,Job,Find Unique Fashion,Buyers want affordable or distinctive fashion that fits their taste without relying only on conventional retail catalogs.,
Consumer,Gain,Style / Value,"Depop combines accessibly priced second-hand fashion with individuality, discovery and the ability to buy from people whose style they follow.",
Consumer,Pain,Trust / Fit,"Buyers face uncertainty around condition, authenticity, sizing, Seller reliability and whether an item will arrive as described.",
Consumer,Transaction,Order / Pay,Buyers purchase through Depop checkout using supported payment methods; eligible purchases receive Depop Protection.,"→ Owner · Order / Pay — Buyers place protected orders and pay through Depop checkout. | ← Owner · Discovery / Protect — Depop provides recommendations, search, messaging, checkout, support and Depop Protection for eligible purchases. | → Provider · Offer / Review — Buyers send messages or offers and provide reviews after completed purchases. | ← Provider · Item / Response — Sellers respond to Buyers and supply the purchased fashion item. | → Partner · Funds / Credentials — Buyer payment instructions and funds are processed through the payment rails embedded in Depop checkout. | ← Partner · Auth / Refund — The payment rail confirms authorization and supports refunds when Depop initiates them."
Consumer,Filter,Account / Market,"Access depends on account, payment and location support, while transactions and content must stay within Depop's marketplace rules.",
