Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Product Match,The Product Match is the Core Value Unit of the recommendation layer: a recommendation or shortlist that connects a Shopper's need with products that appear to fit. It is not the physical product and not the completed purchase.,
Owner,Actor,Amazon,"Amazon owns the recommendation environment, controls access and ranking and operates the advertising layer around product discovery.",
Owner,Job,Guide Choice,Amazon wants to keep the Shopper moving from a vague need toward a useful set of options inside its shopping environment.,
Owner,Gain,Ads / Demand,The decision phase creates product demand and valuable advertising opportunities before checkout.,
Owner,Pain,Trust / Bias,"If recommendation advice feels too biased toward paid products or platform interests, Shoppers can stop trusting the layer.",
Owner,Transaction,Ads / Traffic,Advertising money flows into Amazon while the recommendation environment routes attention toward products and stores.,"← Consumer · Intent — The Shopper's questions reveal decision-stage intent to Amazon. | → Consumer · Access — Amazon provides the shopping surfaces through which the recommendation layer reaches the Shopper. | ← Provider · Signals — Recommendation interactions create signals about what Shoppers ask, compare and consider. | → Provider · Data — Amazon provides product information and, where applicable, shopping signals that help the adviser personalize guidance. | ← Partner · Payment — Some Sellers and brands pay Amazon for sponsored visibility inside the decision process."
Owner,Governance,Rank / Access,"Amazon governs ranking, sponsored placement, access to the recommendation layer and the rules applied to outside applications.",
Owner,Promotion Channel,Prime / Echo,"Amazon can distribute the recommendation experience through its store, Prime relationships and Alexa-enabled devices.",
Owner,Activities,Rank / Monetize,"Amazon operates the environment, ranks products, places ads, measures results and tunes the recommendation experience.",
Owner,Resources,Data / Trust,"Amazon brings a huge catalog, years of shopping signals and an existing customer relationship.",
Consumer,Actor,Shoppers,"Shoppers are people who have a need but have not fully decided what to buy yet. They are still searching, comparing and refining the choice.",
Consumer,Job,Choose Well,Shoppers want to understand the options and find something that actually fits their situation.,
Consumer,Gain,Clarity / Fit,A useful recommendation reduces a large product universe to a smaller set of relevant choices.,
Consumer,Pain,Choice / Doubt,"Hundreds of similar products, mixed reviews and competing claims create uncertainty.",
Consumer,Transaction,Need / Info,"The Shopper contributes a need and information such as budget, use case and preferences so the adviser can make a more useful recommendation.",→ Provider · Query — The Shopper gives Alexa the question or need that requires recommendation help. | ← Provider · Match — Alexa returns the recommendation or shortlist that narrows the decision. | → Owner · Intent — The Shopper's questions reveal decision-stage intent to Amazon. | ← Owner · Access — Amazon provides the shopping surfaces through which the recommendation layer reaches the Shopper.
Consumer,Filter,Market,Access to AI shopping features depends on the Amazon market and service in which the feature is available.,
Consumer,Access Channel,Search / App,"Shoppers enter through Amazon's own shopping surfaces, especially Search and the Amazon app. Alexa is the Provider inside that environment, not the access channel itself.",
Consumer,Activities,Ask / Compare,"Shoppers ask questions, compare alternatives and refine what they want.",
Consumer,Resources,Intent / Data,"Questions reveal purchase intent; where available, Amazon shopping activity can further personalize the recommendation.",
Provider,Actor,Alexa,Alexa means Alexa for Shopping: Amazon's own AI shopping adviser. Recommendation algorithms predate generative AI; Alexa makes the Provider role visible and conversational.,
Provider,Job,Find Match,The Provider's task is to find a useful match between the Shopper's need and the available product universe.,
Provider,Gain,Usage,The adviser creates more platform value when Shoppers actually ask it for help and use the recommendations it produces.,
Provider,Pain,Trust / Noise,"Alexa has to interpret product information, reviews and paid placements without making the advice feel biased or useless.",
Provider,Transaction,Advice / Match,"Alexa returns explanations, comparisons and a Product Match or shortlist.","← Consumer · Query — The Shopper gives Alexa the question or need that requires recommendation help. | → Consumer · Match — Alexa returns the recommendation or shortlist that narrows the decision. | → Owner · Signals — Recommendation interactions create signals about what Shoppers ask, compare and consider. | ← Owner · Data — Amazon provides product information and, where applicable, shopping signals that help the adviser personalize guidance. | → Partner · Traffic — When Alexa recommends a Seller's product, the Seller can receive qualified Shopper attention. | ← Partner · Catalog — Sellers provide product, price, offer and availability information used by the recommendation Provider."
Provider,Filter,Closed,"In the current recommendation-layer model, the Provider role is vertically integrated: Alexa is the built-in adviser rather than one Provider among competing external agents.",
Provider,Access Channel,Built-in,"Alexa is embedded inside Amazon shopping surfaces such as search, results pages, product pages and the app.",
Provider,Activities,Rank / Advise,"Alexa interprets intent, ranks options, compares products, explains differences and recommends what may fit.",
Provider,Resources,Data / Models,The adviser combines AI models with Amazon product information and shopping signals.,
Partner,Actor,Sellers,"Sellers are the complementary Partner side in this recommendation-layer boundary. They include Amazon Sellers and, increasingly through Shop Direct, external shops whose products can enter Amazon's recommendation universe.",
Partner,Job,Reach Buyers,Sellers want their products to enter the Shopper's serious consideration set while the purchase decision is still open.,
Partner,Gain,Demand / Reach,A recommendation can generate qualified attention that may later become a sale.,
Partner,Pain,Noise / Cost,Many Sellers compete for the same decision moment and sponsored visibility can be costly.,
Partner,Transaction,Data / Ads,"Sellers provide offers, prices and availability; some Sellers and brands also pay Amazon for sponsored visibility.","← Provider · Traffic — When Alexa recommends a Seller's product, the Seller can receive qualified Shopper attention. | → Provider · Catalog — Sellers provide product, price, offer and availability information used by the recommendation Provider. | → Owner · Payment — Some Sellers and brands pay Amazon for sponsored visibility inside the decision process."
Partner,Filter,Rules / Feed,Sellers must follow Amazon's participation rules and provide product data in a usable format.,
Partner,Access Channel,Portal / Feed,"Amazon Sellers connect through seller tools, while approved external shops can connect product information through feeds.",
Partner,Activities,List / Update,"Sellers keep listings, prices, offers and stock information current.",
Partner,Resources,Catalog / Stock,The Partner side contributes the product catalog and the inventory behind it.,
