Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Product Listing,"The Product Listing is the Core Value Unit in this B2B marketplace: a Supplier's product offer containing the information a Business Buyer uses to discover the product, contact the Supplier, negotiate specifications and begin a transaction. Alibaba.com also supports RFQs and negotiated quotations, but the listing remains the persistent supply unit that makes the Supplier's offering discoverable.",
Owner,Actor,Alibaba.com,"Alibaba.com owns and governs the international B2B wholesale marketplace. It connects Suppliers to overseas wholesale Buyers and provides sourcing, online transaction, digital marketing, supply-chain fulfillment and related services.",
Owner,Job,Scale B2B Trade,"Alibaba.com must make cross-border supplier discovery, negotiation and transaction scalable for businesses that often begin with no prior relationship.",
Owner,Gain,Members / Services,The platform earns from Supplier memberships and value-added and customer-management services as trade activity and Supplier adoption expand.,
Owner,Pain,Trust / Friction,"Global B2B trade breaks down when Buyers cannot trust Supplier identity, specifications, payment, quality, shipping or dispute resolution.",
Owner,Transaction,Match / Protect,"Alibaba.com coordinates discovery and communication and can move the agreed order into Trade Assurance, payment, escrow and dispute-resolution infrastructure.","← Consumer · Order / Pay — For protected transactions, Business Buyers create or accept the online order and pay through Alibaba.com's payment flow. | → Consumer · Search / Protect — Alibaba.com gives Buyers product and Supplier discovery plus Trade Assurance payment, escrow, mediation and refund protections on eligible orders. | ← Provider · Listings / Fees — Suppliers provide product and company information and paying members purchase annual membership and optional value-added or marketing services. | → Provider · Leads / Payout — Alibaba.com delivers inquiries and RFQs to Suppliers and, for protected orders, releases Buyer payment according to the transaction terms. | → Partner · Tools / Incentives — Alibaba.com provides authorized Partners with training, certification, AI-enabled platform tools, performance dashboards and incentive programs. | ← Partner · Sellers / Reach — Channel Partners extend Alibaba.com's local reach by recruiting, onboarding and supporting Suppliers in their markets."
Owner,Governance,Verify / Protect,"Alibaba.com governs Supplier participation through business verification, platform rules, badges, Trade Assurance conditions, dispute processes and product controls.",
Owner,Promotion Channel,Search / Trade,"Alibaba.com attracts Buyers and Suppliers through search, digital marketing, trade events, sourcing campaigns and local Channel Partners.",
Owner,Activities,Match / Secure,"Alibaba.com runs product and Supplier discovery, RFQ, messaging, online transactions, Trade Assurance, Seller tools and ecosystem programs.",
Owner,Resources,Network / Data,"The global Buyer-Supplier network, product catalog, transaction data, sourcing technology, payment/protection systems and B2B brand are core resources.",
Consumer,Actor,Business Buyers,"Business Buyers include trade agents, wholesalers, retailers, manufacturers and SMEs sourcing goods or production opportunities across borders.",
Consumer,Job,Source Products,"Business Buyers need to find Suppliers that can meet product, price, customization, quality, quantity and delivery requirements.",
Consumer,Gain,Choice / Access,"Alibaba.com gives Buyers access to a large cross-border supplier base, product variety, customization and digital sourcing tools.",
Consumer,Pain,Trust / Complexity,"A Buyer may never meet the Supplier in person and must manage uncertainty around quality, specifications, payment, delivery and dispute resolution.",
Consumer,Transaction,Inquiry / Payment,"The Buyer communicates requirements directly with Suppliers, while protected orders and payment can be executed through Alibaba.com.","→ Owner · Order / Pay — For protected transactions, Business Buyers create or accept the online order and pay through Alibaba.com's payment flow. | ← Owner · Search / Protect — Alibaba.com gives Buyers product and Supplier discovery plus Trade Assurance payment, escrow, mediation and refund protections on eligible orders. | → Provider · Specs / Inquiry — Buyers contact Suppliers directly with product requirements, customization requests, quantities and RFQs. | ← Provider · Quote / Goods — Suppliers return quotations and commercial terms and ultimately provide the physical goods agreed with the Buyer."
Consumer,Filter,Account / Payment,"Participation depends on account and payment access, geography and the eligibility conditions of specific transaction and protection services.",
Consumer,Access Channel,Web / App,"Buyers source through Alibaba.com's website, app, search, RFQ and messaging tools.",
Consumer,Activities,Search / Negotiate,"Buyers find Suppliers, compare products, send inquiries or RFQs, negotiate specifications, place orders, pay, arrange shipping and resolve issues.",
Consumer,Resources,Specs / Budget,"Buyers contribute product requirements, quantities, specifications, commercial information, purchasing power and delivery needs.",
Provider,Actor,Suppliers,"Suppliers are manufacturers, wholesalers, distributors and other B2B sellers that make products and commercial offers available to overseas Buyers.",
Provider,Job,Win B2B Orders,"Suppliers want to convert manufacturing, wholesale or distribution capability into qualified cross-border demand and repeat orders.",
Provider,Gain,Global Demand,"Alibaba.com provides access to overseas Buyers plus storefront, marketing, CRM, Trade Assurance and logistics-related tools.",
Provider,Pain,Visibility / Friction,"Suppliers face competition for inquiries, trust-building costs, onboarding requirements, cross-border logistics and the complexity of converting leads into profitable orders.",
