Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,AI Model,"The AI Model is the Core Value Unit: the model repository a Builder can discover, inspect, download or connect to inference services through the Hugging Face Hub.",
Owner,Actor,HF,Hugging Face owns and operates the Hub in the BASE snapshot. The Canvas uses HF as the compact actor label.,
Owner,Job,Match Models,Hugging Face helps the right model meet the right Builder.,
Owner,Gain,Growth / Fees,"More useful activity can grow the community and generate revenue from paid Hub, storage and compute-related services.",
Owner,Pain,Trust / Bias,"The Hub depends on Builders trusting that search, access and technical support are not unfairly tilted toward one supplier.",
Owner,Transaction,Host / Bill,Hugging Face hosts repositories and collaboration tools and bills for advanced services when users choose paid features.,"← Consumer · Demand — Builders send demand into the Hub when they search for models, download them or use paid services. | → Consumer · Model — Hugging Face gives Builders access to the models they came to find. | ← Provider · Models — Creators bring the supply by publishing models and documentation to the Hub. | → Provider · Reach — The Hub gives Creators reach by making their work easier to discover, download and reuse. | → Partner · Demand — Hugging Face brings AI workloads and organizations looking for compute into the Nvidia partnership. | ← Partner · Compute — Nvidia contributes computing power that Hugging Face can connect to Builders and organizations."
Owner,Governance,Rules / Rank,"Hugging Face sets repository rules, manages gated access and operates the search systems that influence discovery.",
Owner,Promotion Channel,Community,"Publishing, discussion, reuse and improvement inside the community drive much of the Hub's growth.",
Owner,Activities,Host / Rank,"Hugging Face stores repositories, keeps them available and makes millions of models searchable.",
Owner,Resources,Hub / Demand,The Hub itself plus concentrated Builder attention and demand are strategic platform resources.,
Consumer,Actor,Builders,"Builders include developers, researchers and organizations that come to the Hub to find and use models in AI products and research.",
Consumer,Job,Build AI,Builders want to create useful AI without developing every model from scratch.,
Consumer,Gain,Choice / Speed,A large model catalog increases choice and can make experimentation and development faster.,
Consumer,Pain,Trust,"Builders need confidence in who created a model, what it does, its documentation and the terms under which it can be used.",
Consumer,Transaction,Use / Pay,"Builders can use public models and may also pay Hugging Face for private features, storage or compute-related services.","→ Owner · Demand — Builders send demand into the Hub when they search for models, download them or use paid services. | ← Owner · Model — Hugging Face gives Builders access to the models they came to find."
Consumer,Filter,License / Gate,"Access depends on model licenses, repository rules and, for gated models, approval requirements.",
Consumer,Access Channel,Hub / API,"Builders access the platform through the Hub website, libraries and APIs.",
Consumer,Activities,Search / Build,"Builders search, compare, test and build with models they find on the Hub.",
Consumer,Resources,Code / GPUs,Builders bring their own code and require computing resources to turn models into working applications.,
Provider,Actor,Creators,"Creators are individuals, research groups, startups and companies that publish models for others to discover and reuse.",
Provider,Job,Share Models,"Creators want their models to be found, tested and reused.",
Provider,Gain,Reach / Reuse,"Publishing on the Hub can generate downloads, attention, feedback and downstream reuse.",
Provider,Pain,Cost / Noise,"Training and maintaining models can be expensive, while millions of alternatives compete for attention.",
Provider,Transaction,Model / Docs,Creators supply model files plus the documentation and metadata needed to understand and use them.,"→ Owner · Models — Creators bring the supply by publishing models and documentation to the Hub. | ← Owner · Reach — The Hub gives Creators reach by making their work easier to discover, download and reuse."
Provider,Filter,Account,Publishing requires a Hugging Face account and compliance with repository rules.,
Provider,Access Channel,Repo / Git,Creators publish and maintain models through repositories with Git-style versioning and collaboration.,
Provider,Activities,Upload / Update,"Creators publish new versions, improve documentation, answer questions and maintain model repositories.",
Provider,Resources,Models / Data,"Creators contribute the model supply, training work, data and technical knowledge the Hub does not have to create itself.",
Partner,Actor,NVIDIA,"Nvidia is the focal compute partner in this case. Before any ownership change, Hugging Face and Nvidia already collaborate to connect organizations with Nvidia GPU infrastructure. The workbook intentionally isolates Nvidia because it is the reported buyer, while also noting that Hugging Face supports a wider multi-provider and multi-hardware ecosystem.",
Partner,Job,Sell Compute,More AI training and inference can create more demand for computing capacity.,
Partner,Gain,Demand / Sales,"Builder workloads can increase demand for Nvidia hardware, software and related compute services.",
Partner,Pain,Rivals / Supply,Nvidia competes with other hardware and cloud options and must supply enough advanced compute for rapidly growing AI workloads.,
Partner,Transaction,Compute / Demand,Nvidia contributes compute capacity while Hugging Face can connect it with organizations and workloads that need it.,← Owner · Demand — Hugging Face brings AI workloads and organizations looking for compute into the Nvidia partnership. | → Owner · Compute — Nvidia contributes computing power that Hugging Face can connect to Builders and organizations.
Partner,Filter,Support,"The partnership matters only when Nvidia technology works with the models, frameworks and workflows Builders use.",
Partner,Access Channel,DGX Cloud,A concrete integration in the workbook is Nvidia DGX Cloud for access to large GPU clusters.,
Partner,Activities,Train / Run,Nvidia infrastructure supports model training and inference workloads.,
Partner,Resources,GPUs / CUDA,Nvidia contributes GPUs and the software ecosystem used to program and operate them.,
