Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Luxury Listing,"The Luxury Listing is the Core Value Unit: a specific luxury item from a brand or boutique, represented with product, price, size and availability information so it can be discovered and purchased globally through Farfetch.",
Owner,Actor,Farfetch,Farfetch operates the luxury marketplace and customer interface. Coupang acquired the Farfetch business and assets in January 2024.,
Owner,Job,Aggregate Luxury,Farfetch turns fragmented global luxury inventory into one searchable and transactional destination.,
Owner,Gain,Scale / Commission,Aggregated demand and supply can increase marketplace liquidity and generate transaction-related economics.,
Owner,Pain,Margin / Complexity,"Farfetch must coordinate premium service, partner economics, global fulfillment and profitability across a fragmented supply base.",
Owner,Transaction,Match / Settle,"Farfetch coordinates discovery, ordering, customer payment and commercial settlement with the selling partner.","← Consumer · Order / Pay — Customers place orders and payment through Farfetch's unified checkout. | → Consumer · Discovery / Service — Farfetch provides global discovery, checkout, customer support, shipping coordination and returns. | ← Provider · Listing / Stock — Brands and boutiques provide product listings, inventory availability and commercial data. | → Provider · Demand / Payout — Farfetch routes customer demand to the selling partner and remits the relevant proceeds after the transaction. | → Partner · Volume / Labels — Farfetch orchestrates shipping options and creates parcel volume across its distributed retail network. | ← Partner · Tracking / Delivery — Carrier status and delivery events feed Farfetch's customer-service, tracking and return processes."
Owner,Governance,Partner / Service,"Farfetch governs retail-partner eligibility, listing quality, customer service, returns and marketplace standards.",
Owner,Promotion Channel,Brand / Editorial,"Farfetch attracts luxury demand through campaigns, search, editorial merchandising, exclusives and brand storytelling.",
Owner,Activities,Match / Orchestrate,"Farfetch operates discovery, checkout, partner integration, customer support, settlement and shipping orchestration.",
Owner,Resources,Network / Data,"Its global retail network, customer base, fashion data and marketplace technology are strategic resources.",
Consumer,Actor,Luxury Customers,Luxury Customers use Farfetch to discover and buy products from brands and boutiques around the world through one interface.,
Consumer,Job,Find Luxury,"Customers want to find desirable luxury products, including pieces that may not be available in their local market.",
Consumer,Gain,Choice / Access,Farfetch combines fragmented global inventory into a broad selection with one discovery and checkout experience.,
Consumer,Pain,Price / Delivery,"Luxury e-commerce creates friction around price, fit, customs, returns, delivery time and cross-border complexity.",
Consumer,Transaction,Order / Pay,Customers place orders and pay through Farfetch even when the underlying sale is with a third-party partner boutique.,"→ Owner · Order / Pay — Customers place orders and payment through Farfetch's unified checkout. | ← Owner · Discovery / Service — Farfetch provides global discovery, checkout, customer support, shipping coordination and returns. | → Provider · Purchase / Demand — The underlying purchase contract is with the partner boutique or brand, so the customer's order creates direct demand for that Provider's product. | ← Provider · Luxury Item — The selling partner supplies the purchased item, which is shipped from that partner's inventory to the customer. | ← Partner · Delivery — The logistics carrier physically delivers the purchased product to the customer."
Consumer,Filter,Market / Payment,"Access and availability depend on destination market, payment eligibility, shipping restrictions and partner inventory.",
Consumer,Access Channel,Web / App,Customers access the marketplace through Farfetch's website and mobile applications.,
Consumer,Activities,Browse / Buy,"Customers browse, compare, purchase and return luxury products.",
Consumer,Resources,Budget / Taste,"Customers contribute purchasing power, style preferences, sizing information and shopping behavior.",
Provider,Actor,Brands / Boutiques,"Independent luxury brands, boutiques and department stores provide the distributed inventory that Farfetch aggregates.",
Provider,Job,Sell Globally,Providers want to reach international luxury customers without building the same global digital demand and transaction layer themselves.,
Provider,Gain,Reach / Sales,"Farfetch provides international discovery, demand generation and access to markets beyond the Provider's local footprint.",
Provider,Pain,Sync / Fulfill,"Providers must keep inventory, pricing and product information accurate while fulfilling premium cross-border orders.",
Provider,Transaction,Listing / Stock,"Providers supply product listings, availability and the physical inventory behind them.","→ Owner · Listing / Stock — Brands and boutiques provide product listings, inventory availability and commercial data. | ← Owner · Demand / Payout — Farfetch routes customer demand to the selling partner and remits the relevant proceeds after the transaction. | ← Consumer · Purchase / Demand — The underlying purchase contract is with the partner boutique or brand, so the customer's order creates direct demand for that Provider's product. | → Consumer · Luxury Item — The selling partner supplies the purchased item, which is shipped from that partner's inventory to the customer. | → Partner · Parcel — The selling brand or boutique hands the packed order into the carrier network. | ← Partner · Shipping / Tracking — The carrier provides transport and tracking that allow the Provider to fulfill the Farfetch order."
Provider,Filter,Quality / Terms,"Farfetch controls which retail partners join and applies marketplace, product, service and content requirements.",
Provider,Access Channel,Partner Portal,"Brands and boutiques connect their catalog, stock and order-management processes to Farfetch's partner systems.",
Provider,Activities,List / Fulfill,"Providers maintain product data and stock, prepare sold items and hand parcels into the delivery network.",
Provider,Resources,Stock / Catalog,"Providers contribute luxury inventory, product data, pricing, brand identity and fulfillment capability.",
Partner,Actor,Logistics Carriers,"Logistics Carriers are the most business-model-critical external complement in the global marketplace boundary. Farfetch currently ships worldwide primarily through DHL, with UPS and other carriers used in selected markets, so distributed boutique inventory can reach customers without Farfetch owning the stock.",
Partner,Job,Deliver Globally,Carriers must move high-value products reliably across the local and international routes connecting Farfetch partners with customers.,
Partner,Gain,Volume / Reach,Farfetch creates recurring premium parcel volume across many countries and retail origins.,
Partner,Pain,Customs / Delay,"Cross-border luxury shipments face customs, security, delivery-time and loss or damage risk.",
Partner,Transaction,Parcel / Delivery,Providers hand parcels to the carrier network; carriers move them to customers and support the reverse flow for returns.,"→ Consumer · Delivery — The logistics carrier physically delivers the purchased product to the customer. | ← Provider · Parcel — The selling brand or boutique hands the packed order into the carrier network. | → Provider · Shipping / Tracking — The carrier provides transport and tracking that allow the Provider to fulfill the Farfetch order. | ← Owner · Volume / Labels — Farfetch orchestrates shipping options and creates parcel volume across its distributed retail network. | → Owner · Tracking / Delivery — Carrier status and delivery events feed Farfetch's customer-service, tracking and return processes."
Partner,Filter,Coverage / SLA,"The carrier layer needs international coverage, tracking and service levels compatible with a premium luxury experience.",
Partner,Access Channel,Labels / Tracking,"Farfetch integrates shipping options, labels and tracking into the order and return process.",
Partner,Activities,Pick / Deliver,"Carriers collect or receive parcels, transport them, clear relevant delivery steps and complete delivery.",
Partner,Resources,Network / Tracking,"Carriers contribute global parcel networks, customs capability, tracking systems and delivery capacity.",
