Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Product Listing,"The Product Listing is the Core Value Unit. It represents a specific sneaker, apparel or accessory offer made available to GOAT buyers by an approved seller or a curated retail partner. GOAT adds catalog structure, pricing context and an assurance layer before the listing becomes a trusted purchase opportunity.",
Owner,Actor,GOAT Group,"GOAT Group owns and operates GOAT and the wider portfolio that includes Flight Club, Grailed, Sneakers.com and alias. GOAT is the consumer-facing marketplace analyzed in this case.",
Owner,Job,Run Trusted Market,"GOAT Group must combine broad supply, trusted buying, seller governance and premium cultural positioning into a scalable marketplace.",
Owner,Gain,Fees / Liquidity,"More trusted supply and demand increase transaction revenue, marketplace liquidity, data depth and cross-platform strategic leverage.",
Owner,Pain,Trust / Cost,GOAT must preserve authenticity and quality while reducing the cost and delay created by physical handling and verification.,
Owner,Transaction,Match / Assure,"GOAT matches demand with resale and retail supply, processes purchases, applies its assurance layer and releases seller proceeds.",← Consumer · Purchase — Buyers place and pay for orders through GOAT. | ← Provider · Listing — Approved resale sellers make products available to GOAT's demand network. | → Provider · Payout — GOAT releases seller earnings once the applicable transaction and assurance conditions are satisfied. | ← Partner · Supply — Selected boutiques and retailers contribute primary-market inventory to GOAT's marketplace.
Owner,Governance,Trust Rules,"GOAT governs seller approval, seller scores, fees, product condition, authenticity, fulfillment requirements and buyer protection.",
Owner,Promotion Channel,Drops / Culture,"GOAT builds demand through drops, editorial curation, collaborations, cultural partnerships, app merchandising and brand storytelling.",
Owner,Activities,Match / Verify,"GOAT operates discovery, marketplace matching, seller systems, authentication methods, consignment, payments, support and cultural programming.",
Owner,Resources,Data / Facilities,"Key resources include marketplace software, product and authenticity data, brand trust, verification expertise, facilities and GOAT Group's multi-brand demand network.",
Consumer,Actor,Buyers,"Buyers include sneaker enthusiasts, collectors and fashion shoppers looking for current, rare, archival, new and pre-owned products with stronger authenticity assurance than an unmanaged peer-to-peer market.",
Consumer,Job,Buy Rare Style,Buyers want access to desirable fashion products without carrying the full counterfeit and counterparty risk themselves.,
Consumer,Gain,Trust / Choice,"GOAT combines broad selection across primary and resale supply with product assurance, condition information and curated discovery.",
Consumer,Pain,Fakes / Price,"Buyers face counterfeit risk, volatile resale pricing, condition uncertainty, shipping friction and limited availability for scarce products.",
Consumer,Transaction,Buy,"Buyers select a product, place the order and pay through GOAT.","→ Owner · Purchase — Buyers place and pay for orders through GOAT. | ← Provider · Product — Resale sellers provide the purchased product to the buyer. Physically, many resale items first pass through a GOAT facility for verification before GOAT forwards them; the arrow represents the core economic value transfer rather than every logistics handoff. | ← Partner · Product — Retail and boutique partners provide primary-market products to GOAT buyers; selected partners may fulfill directly, while other products may be handled through GOAT's facilities."
Consumer,Filter,Account / Risk,"Access depends on account status, payment acceptance, geography, product availability and fraud or policy controls.",
Consumer,Access Channel,App / Web,Buyers access GOAT through its mobile app and website.,
Consumer,Activities,Browse / Buy,"Buyers search, compare, favorite, purchase and track products across sneakers, apparel and accessories.",
Consumer,Resources,Budget / Taste,"Buyers contribute purchasing power, demand signals, product preferences, attention and transaction history.",
Provider,Actor,Approved Sellers,"Providers are approved individual and professional sellers supplying resale inventory. GOAT restricts selling access to selected sellers and uses seller scores, verification outcomes and fulfillment performance to govern continued participation.",
Provider,Job,Sell Products,"Sellers want liquidity and global demand for valuable sneakers, apparel and accessories.",
Provider,Gain,Reach / Liquidity,"GOAT and alias provide demand access, pricing data, seller tools, marketplace trust and payout infrastructure.",
Provider,Pain,Fees / Rejection,"Sellers face commissions, seller fees, verification failures, shipping deadlines, cancellations and account-score penalties.",
Provider,Transaction,List,Approved sellers submit product listings and commit inventory under GOAT's selling rules.,"→ Owner · Listing — Approved resale sellers make products available to GOAT's demand network. | ← Owner · Payout — GOAT releases seller earnings once the applicable transaction and assurance conditions are satisfied. | → Consumer · Product — Resale sellers provide the purchased product to the buyer. Physically, many resale items first pass through a GOAT facility for verification before GOAT forwards them; the arrow represents the core economic value transfer rather than every logistics handoff."
Provider,Filter,Approval / Score,"GOAT selects sellers and governs participation through seller approval, seller scores, authenticity, description accuracy and fulfillment performance.",
Provider,Access Channel,alias / GOAT,"Sellers can use GOAT selling workflows and alias, GOAT Group's official seller application.",
Provider,Activities,List / Ship,"Sellers price and list inventory, confirm orders, ship or drop off products, manage consignment and monitor earnings.",
Provider,Resources,Inventory / Price,"Sellers contribute authentic inventory, product condition, pricing decisions, photos where required and fulfillment effort.",
Partner,Actor,Boutiques / Retailers,"Premium boutiques and retailers are the strategic Partner role because they give GOAT a second supply logic beyond peer resale. GOAT explicitly sources products from premium boutiques and retailers as well as sellers and trusted partners, allowing the platform to bridge primary and secondary markets.",
Partner,Job,Supply Primary,Retail partners want an additional trusted channel for reaching GOAT's global fashion and sneaker demand.,
Partner,Gain,Demand / Reach,GOAT provides access to a large international audience and a premium discovery environment without requiring partners to build that demand network themselves.,
Partner,Pain,Margin / Stock,"Partners must balance marketplace economics, inventory availability, fulfillment quality and brand presentation.",
Partner,Transaction,Supply,Selected boutiques and retailers make primary-market inventory available through GOAT's trusted marketplace.,"→ Owner · Supply — Selected boutiques and retailers contribute primary-market inventory to GOAT's marketplace. | → Consumer · Product — Retail and boutique partners provide primary-market products to GOAT buyers; selected partners may fulfill directly, while other products may be handled through GOAT's facilities."
Partner,Filter,Vetting / Quality,GOAT vets trusted partners and applies quality and authenticity expectations to partner-supplied products.,
Partner,Access Channel,Partner Tools,Retail partners connect through GOAT Group's commercial and operational partner processes rather than ordinary consumer selling access.,
Partner,Activities,Supply / Fulfill,"Partners contribute sellable inventory, maintain availability and fulfill orders through the agreed GOAT operating model.",
Partner,Resources,Inventory / Brand,"Partners contribute authentic primary-market inventory, retail relationships, brand credibility and fulfillment capabilities.",
