Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Parking Spot,The Core Value Unit is a Parking Spot: one reservable place a Driver can find and book for a particular location and time.,
Owner,Actor,akippa,"The Owner is akippa: it operates the marketplace, booking system and payment flow.",
Owner,Job,Match Spots,Its central job is to Match Spots: connect parking demand with an available space at the right location and time.,
Owner,Gain,Growth / Fees,"If the marketplace gets denser, Akippa can gain Growth and Fees from more successful reservations.",
Owner,Pain,Local Gaps,The central platform pain is Local Gaps. Five million members nationally do not help a Driver if there is no suitable parking spot near this destination at this time.,
Owner,Transaction,Match / Settle,Akippa Matches the reservation and Settles the money: it takes payment from the Driver and pays the Owner after the platform's fee.,"← Consumer · Payment — The Driver sends Payment to Akippa when making the reservation. | → Consumer · Booking — Akippa gives the Driver a Booking: confirmed access to a specific space at a specific time. | ← Provider · Supply — Owners give Akippa Supply by publishing when and where a parking space is available. | → Provider · Payout — When parking is used, Akippa sends the Owner a Payout after retaining the relevant platform fees. | → Partner · Parking — Akippa gives Hosts a reservable Parking system that can combine official lots with surrounding local capacity. | ← Partner · Demand — Hosts can bring concentrated Demand around a match, festival or other event."
Owner,Governance,Price / Trust,"Governance is Price and Trust. Owners can manage prices, or delegate pricing to Akippa, while verification and platform rules protect the marketplace.",
Owner,Promotion Channel,Search / Events,"Growth comes from ordinary Search and from Events that concentrate parking demand around stadiums, festivals and other destinations.",
Owner,Activities,Match / Price,The recurring platform activities are Match and Price: connect reservations to supply and help set prices around local demand.,
Owner,Resources,Data / Network,"The key resources are Data and Network: booking information, local demand patterns and a distributed base of reservable spaces.",
Consumer,Actor,Drivers,Start with the Consumers: Drivers looking for somewhere to park near a destination.,
Consumer,Job,Find Parking,Their job is to find parking before they arrive.,
Consumer,Gain,Certainty,The main gain is Certainty. A reservation means the Driver knows where the car can go before reaching a crowded destination.,
Consumer,Pain,Full / Search,"The pain is Full and Search: parking can be unavailable, and searching for a free space near the destination takes time.",
Consumer,Transaction,Book / Pay,Drivers Book and Pay in advance through the platform.,← Provider · Space — The direct value from Owner to Driver is the Space itself: the right to park there during the reserved time. | → Owner · Payment — The Driver sends Payment to Akippa when making the reservation. | ← Owner · Booking — Akippa gives the Driver a Booking: confirmed access to a specific space at a specific time.
Consumer,Filter,Account,"To reserve, the Driver participates through an Akippa account and supplies the information needed for the booking.",
Consumer,Access Channel,App / Web,Drivers access the marketplace through Akippa's app or website.,
Consumer,Activities,Search / Park,"Their repeated activities are Search and Park: find a suitable space, reserve it, then use it.",
Consumer,Resources,Car / Time,They bring the car and the timing of the trip. Parking demand only has value when location and time line up.,
Provider,Actor,Owners,"The Providers are Owners. They can be individuals, property managers, companies or facilities with parking space that is unused for part of the day.",
Provider,Job,Earn Income,Their job is to earn income from space that would otherwise sit unused.,
Provider,Gain,Income,The gain is Income without needing to install a ticket machine or build a conventional car park business.,
Provider,Pain,Hassle / Risk,"The pain is Hassle and Risk: setting up availability, handling reservations and avoiding misuse or disputes.",
Provider,Transaction,Space / Payout,Owners contribute Space and receive a Payout when that space is booked.,"→ Consumer · Space — The direct value from Owner to Driver is the Space itself: the right to park there during the reserved time. | → Owner · Supply — Owners give Akippa Supply by publishing when and where a parking space is available. | ← Owner · Payout — When parking is used, Akippa sends the Owner a Payout after retaining the relevant platform fees."
Provider,Filter,Verify,The Provider gate is Verify. Akippa verifies owner information before the space can go live.,
Provider,Access Channel,Owner Mode,"Owners can now connect through Owner Mode: Akippa's self-service feature that lets them register, open, manage and monetize a parking space from a smartphone.",
Provider,Activities,List / Update,"They List the space and keep availability, prices and booking information up to date.",
Provider,Resources,Space / Time,The essential resources are Space and Time: a physical parking spot and the periods when it is available.,
Partner,Actor,Hosts,"Akippa also has a strategically useful Partner side: Hosts. This is an umbrella for sports clubs, event organisers, companies and municipalities that need to move large numbers of visitors without creating parking chaos.",
Partner,Job,Move Crowds,Their job is to move crowds into and out of a venue or event more smoothly.,
Partner,Gain,Smooth Flow,Their gain is smoother traffic flow and a more predictable arrival experience.,
Partner,Pain,Jam / Parking,Their pain is Jam and Parking: concentrated demand can overwhelm the spaces closest to an event.,
Partner,Transaction,Demand / Lots,"Hosts can bring concentrated Demand and, in some cases, official or temporary Lots that Akippa can make reservable.","← Owner · Parking — Akippa gives Hosts a reservable Parking system that can combine official lots with surrounding local capacity. | → Owner · Demand — Hosts can bring concentrated Demand around a match, festival or other event."
Partner,Filter,Partner,This role depends on a commercial or operational partnership with Akippa.,
Partner,Access Channel,Program,Hosts connect through Akippa's event and partnership programs rather than through the ordinary Driver interface.,
Partner,Activities,Plan / Open,They plan the event flow and can open official or temporary parking capacity for reservations.,
Partner,Resources,Crowds / Lots,They bring something unusually valuable to a local marketplace: concentrated Crowds and sometimes dedicated Lots.,
