Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Item Listing,"The Item Listing is the Core Value Unit: a Seller-created offer with item, price, condition, images and location information that a Buyer can discover, discuss and potentially purchase.",
Owner,Actor,Carousell,"Carousell operates the multi-category second-hand marketplace and increasingly orchestrates payment, shipping and trust rather than only introducing Buyers and Sellers.",
Owner,Job,Scale Recommerce,Carousell must make second-hand buying and selling simple and trusted enough to become a repeat commerce behavior.,
Owner,Gain,Growth / Revenue,"More trusted transactions support engagement and multiple revenue streams such as seller tools, business subscriptions, advertising and transaction-related services.",
Owner,Pain,Scams / Leakage,"If users move conversations, payment or delivery outside the platform, Carousell loses visibility and has less ability to prevent or resolve scams.",
Owner,Transaction,Match / Protect,"Carousell coordinates discovery and chat and, for supported Buy-button deals, payment holding, Buyer Protection and delivery orchestration.","← Consumer · Order / Pay — For Buy-button transactions, Buyers place orders and make payment through Carousell. | → Consumer · Discovery / Protect — Carousell provides discovery, chat, Buyer Protection and dispute support for supported transactions. | ← Provider · Listing / Fees — Sellers create listings and may pay for business subscriptions, boosts or other marketplace tools. | → Provider · Demand / Payout — Carousell provides Buyer demand and releases protected transaction proceeds to the Seller after completion. | → Partner · Orders / Volume — Carousell's Official Delivery integration routes eligible marketplace orders and parcel volume to delivery partners. | ← Partner · Tracking / Status — Delivery status feeds back into Carousell's order tracking, Buyer Protection and Seller payout workflow."
Owner,Governance,Rules / Safety,"Carousell governs listings, identity, scam detection, user reports and the transaction conditions attached to Buyer Protection.",
Owner,Promotion Channel,Search / Referrals,"Carousell grows through app discovery, search, referrals, social media and paid promotion.",
Owner,Activities,Match / Protect,"Carousell runs listings, discovery, chat, trust-and-safety, payment protection and integrated delivery workflows.",
Owner,Resources,Data / Trust,"Its user network, marketplace interaction data, trust signals and brand are core strategic resources.",
Consumer,Actor,Buyers,"Buyers use Carousell to find second-hand, local and value-oriented items across many categories.",
Consumer,Job,Buy Second-Hand,Buyers want to find useful pre-owned goods at attractive prices without the friction and risk of an unstructured local deal.,
Consumer,Gain,Savings / Choice,"A broad local supply of used goods can provide lower prices, variety and access to items that may no longer be available new.",
Consumer,Pain,Scams / Quality,"Buyers face fake listings, misrepresented condition, payment scams and uncertainty about whether a Seller will complete the deal.",
Consumer,Transaction,Order / Pay,"For Buy-button transactions, Buyers place the order and pay through Carousell; meet-up transactions can still be completed directly.","→ Owner · Order / Pay — For Buy-button transactions, Buyers place orders and make payment through Carousell. | ← Owner · Discovery / Protect — Carousell provides discovery, chat, Buyer Protection and dispute support for supported transactions. | → Provider · Order / Review — Buyer demand, negotiation and reviews accrue directly to the Seller. | ← Provider · Item — The Seller ultimately supplies the purchased item to the Buyer. | ← Partner · Delivery — For integrated delivery transactions, the Delivery Partner physically delivers the Seller's item to the Buyer."
Consumer,Filter,Account / Market,"Participation depends on account, market availability and Carousell's safety, identity and category rules.",
Consumer,Access Channel,App / Web,Buyers access listings through Carousell's mobile app and website.,
Consumer,Activities,Search / Chat,"Buyers browse listings, chat with Sellers, negotiate, purchase and review completed deals.",
Consumer,Resources,Budget / Intent,"Buyers contribute purchasing power, search intent, location, preferences and feedback.",
Provider,Actor,Sellers,Sellers range from people decluttering their homes to side hustlers and professional merchants. They retain ownership of the item until the deal is completed.,
Provider,Job,Sell Used Goods,Sellers want to convert unused or resale inventory into cash with as little listing and transaction effort as possible.,
Provider,Gain,Cash / Reach,"Carousell provides access to local demand, discovery and optional paid visibility tools.",
Provider,Pain,Scams / Visibility,"Sellers face fake Buyers, negotiation friction, low visibility, no-shows and the effort required to arrange handoff or delivery.",
Provider,Transaction,Listing / Item,Sellers create the listing and ultimately supply the physical item to the Buyer.,"→ Owner · Listing / Fees — Sellers create listings and may pay for business subscriptions, boosts or other marketplace tools. | ← Owner · Demand / Payout — Carousell provides Buyer demand and releases protected transaction proceeds to the Seller after completion. | ← Consumer · Order / Review — Buyer demand, negotiation and reviews accrue directly to the Seller. | → Consumer · Item — The Seller ultimately supplies the purchased item to the Buyer. | → Partner · Parcel — The Seller hands the sold item into the integrated delivery network. | ← Partner · Pickup / Tracking — The Delivery Partner provides pickup or drop-off service and tracking that enables the Seller to fulfill remotely."
Provider,Filter,Identity / Rules,"Accounts, listings and merchant activity are subject to category rules, identity checks and trust-and-safety controls.",
Provider,Access Channel,Listing Tools,"Sellers list through the app or web and can use paid tools such as Bumps, Spotlight or business subscriptions.",
Provider,Activities,List / Fulfill,"Sellers create listings, respond to Buyers, negotiate and complete the meet-up or shipping process.",
Provider,Resources,Item / Details,"Sellers contribute the item, photos, description, price, condition, location and fulfillment effort.",
Partner,Actor,Delivery Partners,"Delivery Partners are the strongest external complement in Carousell's current transaction-led marketplace model. They make remote C2C deals possible after Carousell has brought payment and Buyer Protection on-platform. In Singapore, SPX Express is a current named partner for Carousell Official Delivery.",
Partner,Job,Move Items,Delivery Partners move Seller-held goods to Buyers when the transaction is completed remotely rather than through a meet-up.,
