Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Product Listing,"The Product Listing is the unit of value made discoverable on eBay: an offer that combines the item, price or auction terms, seller information, availability, shipping conditions and other details a Buyer needs to transact.",
Owner,Actor,eBay,"eBay Inc. owns and governs the marketplace infrastructure that connects Buyers, Sellers and supporting Solution Partners across more than 190 markets.",
Owner,Job,Facilitate Trade,"eBay's central job is to make trade between large numbers of independent Buyers and Sellers easier, safer and more liquid than those participants could achieve individually.",
Owner,Gain,GMV / Revenue,"More successful transactions increase marketplace GMV and create revenue from selling fees, advertising and other commerce services.",
Owner,Pain,Fraud / Churn,"Counterfeits, scams, disputes, platform abuse, weak seller quality or declining buyer engagement can reduce trust and weaken marketplace liquidity.",
Owner,Transaction,Match / Settle,"eBay intermediates discovery, checkout, payment confirmation, fee deduction and Seller payout. Q2 2026 GMV was $22.4 billion; eBay reports transaction value rather than a precise public count of individual transactions.","← Consumer · Order / Pay — Buyers place orders and pay through eBay's managed marketplace checkout. | → Consumer · Protect — eBay returns marketplace access, checkout, transaction confirmation and protections such as the eBay Money Back Guarantee. | ← Provider · Listing / Fees — Sellers provide listings and pay applicable selling and advertising fees to eBay. | → Provider · Payout / Reach — eBay gives Sellers access to marketplace demand and initiates payouts after Buyer payment is confirmed and selling costs are deducted."
Owner,Governance,Rules / Trust,"Marketplace governance combines seller standards, feedback, buyer protection, fraud controls, dispute processes, product policies and enforcement.",
Owner,Promotion Channel,Search / Ads,"eBay attracts and re-engages users through search visibility, brand marketing, email, social channels, recommendations and advertising products embedded in the marketplace.",
Owner,Activities,Match / Protect,"eBay operates search and discovery, manages payments and payouts, moderates marketplace activity, enforces rules and invests in protection and transaction trust.",
Owner,Resources,Brand / Data,"eBay's key resources include its brand, marketplace technology, search and ranking systems, transaction and behavioral data, payments infrastructure, trust systems and global network.",
Consumer,Actor,Buyers,"Individual buyers, collectors, bargain hunters and other shoppers use eBay to discover and purchase new, used, rare and collectible goods from third-party Sellers.",
Consumer,Job,Find / Buy,"Buyers come to eBay to find products that may be difficult to source elsewhere and to complete a purchase through fixed-price, offer or auction-style marketplace mechanisms.",
Consumer,Gain,Value / Choice,"Large assortment, price discovery, unique inventory and convenient marketplace search can give Buyers more choice and opportunities to find good value.",
Consumer,Pain,Scams / Delays,"Buyers can face counterfeit or misrepresented goods, non-delivery, shipping delays, disputes and uncertainty about unfamiliar Sellers.",
Consumer,Transaction,Order / Pay,"Buyers place orders and pay through eBay's checkout. Across eBay's marketplace platforms, paid transactions generated $22.4 billion of Gross Merchandise Volume in Q2 2026.","→ Owner · Order / Pay — Buyers place orders and pay through eBay's managed marketplace checkout. | ← Owner · Protect — eBay returns marketplace access, checkout, transaction confirmation and protections such as the eBay Money Back Guarantee. | ← Provider · Product — The Seller supplies and fulfills the product purchased by the Buyer. | → Provider · Review — Buyer feedback contributes to Seller reputation and future marketplace trust."
Consumer,Filter,Account / Payment,"Access to transact depends on account, payment, identity, policy and fraud controls; some products and activities are restricted by marketplace rules.",
Consumer,Access Channel,Web / App,"Buyers primarily access eBay through its websites and mobile apps, where search, recommendations, auctions, offers and checkout are integrated.",
Consumer,Activities,Search / Bid,"Buyers search and browse listings, compare alternatives, bid or make offers where available, purchase products and provide feedback after transactions.",
Consumer,Resources,Account / Payment,"Buyers contribute attention, transaction intent, account and payment information, device access, behavioral signals and post-transaction feedback.",
Provider,Actor,Sellers,"Private individuals, small businesses, retailers, brands and professional merchants provide the inventory that makes eBay's marketplace valuable.",
Provider,Job,Sell / Reach,Sellers use eBay to turn inventory into sales and reach demand beyond their own local market or standalone storefront.,
Provider,Gain,Reach / Revenue,"Marketplace participation gives Sellers access to a global buyer base, transaction infrastructure, marketing tools, performance data and opportunities to scale revenue.",
Provider,Pain,Fees / Competition,"Sellers face marketplace fees, competition for visibility, fraud and dispute risk, fulfillment obligations and pressure to maintain seller performance.",
Provider,Transaction,List / Sell,"Sellers create listings, complete sales and pay eBay selling fees. Final value fees vary by category and are deducted from seller earnings before payout.","→ Owner · Listing / Fees — Sellers provide listings and pay applicable selling and advertising fees to eBay. | ← Owner · Payout / Reach — eBay gives Sellers access to marketplace demand and initiates payouts after Buyer payment is confirmed and selling costs are deducted. | → Consumer · Product — The Seller supplies and fulfills the product purchased by the Buyer. | ← Consumer · Review — Buyer feedback contributes to Seller reputation and future marketplace trust. | → Partner · Fees / Data — Sellers can pay Solution Partners and connect marketplace data to third-party operating tools. | ← Partner · Tools / Services — Solution Partners provide software, integrations and commerce services that help Sellers operate on eBay."
