Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Event Contract,"The Event Contract is the Core Value Unit: a concrete tradable promise tied to an outcome. For example, a YES contract can settle at $1 if the event happens and $0 if it does not. Polymarket defines the market context and rules; Makers make contracts available at prices; Takers accept available offers.",
Owner,Actor,Polymarket,"Polymarket is the platform Owner. It defines market context and boundaries, operates exchange infrastructure and sets participation and integrity rules.",
Owner,Job,Run Market,"Polymarket runs the market around Event Contracts: it defines event context and boundaries, provides exchange infrastructure and enforces platform rules.",
Owner,Gain,Fees / Trust,"Polymarket benefits from a trusted, active marketplace. In fee-enabled categories it can earn taker fees, while credible rules are important for sustaining participation and liquidity.",
Owner,Pain,Trust / Law,"If ordinary traders believe others secretly know outcomes, the market can feel rigged. Alleged use of classified or protected information also creates legal, regulatory and national-security risk.",
Owner,Transaction,Fees / Rebates,"Polymarket is not the house taking the opposite side of every trade. In eligible fee-enabled categories, Takers pay fees and part of those fees can fund Maker rebates. Geopolitical and world-event markets are currently fee-free.","← Consumer · Order — The Taker gives Polymarket an order that accepts available liquidity at the chosen price. | → Consumer · Context — Polymarket gives the Taker the defined event context and rules so the contract has a shared meaning. | ← Provider · Offer — The Maker gives Polymarket a limit order stating the contract and price they are willing to make available. | → Provider · Context — Polymarket gives the Maker the market question, outcomes, deadline, rules and exchange infrastructure within which contracts can be offered. | → Partner · Rules — Polymarket gives the Oracle the resolution rules that define what evidence and outcome should settle the contract. | ← Partner · Outcome — The Oracle gives Polymarket the resolved outcome, allowing winning contracts to settle at $1 and losing contracts at $0."
Owner,Governance,Rules / Limits,"Polymarket defines the market title, resolution source, end date and edge-case rules, and it sets limits on who may trade and what informational advantages or conduct are prohibited.",
Owner,Promotion Channel,News / Social,"Markets spread through news coverage, social sharing and referrals, while changing odds can themselves become part of public discussion.",
Owner,Activities,Define / Match,"Polymarket defines markets and their boundaries, operates the order book, matches trades and monitors integrity.",
Owner,Resources,CLOB / Data,"A key resource is the Central Limit Order Book: the digital list of prices and quantities participants are willing to trade. Polymarket uses it to match orders, while trading data produces the public price signal.",
Consumer,Actor,Takers,The Consumer role is the Taker: a participant who accepts an offer already resting in the order book. A Taker can technically be a buyer or seller; the PBMC models the role of taking liquidity rather than a permanent type of person.,
Consumer,Job,Earn Return,The Taker tries to earn a return by taking a contract at a price they believe is attractive.,
Consumer,Gain,Return / Edge,"The Taker gains when their judgment is better than the price they accepted. That edge can come from better research, expertise, models, faster synthesis of public signals or lawful observation.",
Consumer,Pain,Price / Risk,The Taker can accept a bad price and lose money. A deeper integrity risk appears if the participant on the other side possesses information the Taker could never legitimately obtain.,
Consumer,Transaction,Payment / Order,"The Taker contributes an order and the funds needed for the trade. When the order matches, the contract changes hands through Polymarket's exchange infrastructure.",→ Provider · Payment — The Taker gives the Maker the economic countervalue for the matched contract. Polymarket's exchange and collateral infrastructure technically mediates the trade. | ← Provider · Contract — The Maker gives the Taker the Core Value Unit: an Event Contract made available at a price. | → Owner · Order — The Taker gives Polymarket an order that accepts available liquidity at the chosen price. | ← Owner · Context — Polymarket gives the Taker the defined event context and rules so the contract has a shared meaning.
Consumer,Filter,Region / Insider,Takers are filtered by geographic restrictions and market-integrity rules. Polymarket prohibits specified trading on confidential information and trading by participants who can influence the outcome.,
Consumer,Access Channel,Web / API,Takers reach the trading system through Polymarket interfaces and APIs.,
Consumer,Activities,Assess / Take,"The Taker assesses the event and the offered price, then decides whether to take the contract.",
Consumer,Resources,Info / Funds,"The Taker contributes information, judgment and funds. The information can include public research, expertise, lawful private observations or a private model built from public data.",
Provider,Actor,Makers,The Provider role is the Maker: a participant who places a limit order into the market and leaves an offer available for someone else to take.,
Provider,Job,Earn Return,"The Maker also seeks a return, but does so by making a priced Event Contract available to other traders.",
Provider,Gain,Return / Reward,"Makers can profit from trading judgment and, in eligible fee-enabled markets, can receive maker rebates or liquidity rewards for useful liquidity.",
Provider,Pain,Unfair / Loss,"The Maker can lose money when the offered price is wrong. If a Taker secretly knows the outcome, that Taker can exploit an offer that looked reasonable to participants relying on legitimate information.",
Provider,Transaction,Contract / Price,The Maker makes an Event Contract available at a price using a limit order that waits in the order book until another participant accepts it.,"← Consumer · Payment — The Taker gives the Maker the economic countervalue for the matched contract. Polymarket's exchange and collateral infrastructure technically mediates the trade. | → Consumer · Contract — The Maker gives the Taker the Core Value Unit: an Event Contract made available at a price. | → Owner · Offer — The Maker gives Polymarket a limit order stating the contract and price they are willing to make available. | ← Owner · Context — Polymarket gives the Maker the market question, outcomes, deadline, rules and exchange infrastructure within which contracts can be offered."
Provider,Filter,Region / Insider,"Makers are subject to geographic and integrity filters. Polymarket's rules prohibit trading on stolen confidential information, illegal tips and outcomes a participant can influence, while permitting specified lawful informational advantages.",
Provider,Access Channel,Web / API,Makers place offers through Polymarket interfaces and APIs.,
Provider,Activities,Analyze / Offer,The Maker analyzes the event and turns a belief into an available transaction by offering a contract at a price.,
Provider,Resources,Info / Funds,"Makers contribute information, judgment and funds. Legitimate differences in interpretation are what create offers, trades and price discovery.",
Partner,Actor,Oracle,The Partner is the Oracle: the external resolution mechanism that determines what happened in the real world so the Event Contract can settle. Polymarket currently uses UMA's Optimistic Oracle.,
Partner,Job,Judge Result,The Oracle determines the result according to the resolution rules Polymarket defined for the market.,
Partner,Gain,Reward,The resolution mechanism uses financial incentives: a successful proposer receives the posted bond back plus a reward.,
Partner,Pain,Wrong / Dispute,"A wrong proposal can be challenged. An unsuccessful proposer can lose the bond, and disputed cases can escalate into UMA's wider dispute-resolution process.",
Partner,Transaction,Bond / Reward,The Oracle mechanism uses bonds and rewards: participants put funds at risk when proposing or challenging an outcome.,"← Owner · Rules — Polymarket gives the Oracle the resolution rules that define what evidence and outcome should settle the contract. | → Owner · Outcome — The Oracle gives Polymarket the resolved outcome, allowing winning contracts to settle at $1 and losing contracts at $0."
Partner,Filter,Rules / Stake,"The Oracle is constrained by the market's written resolution rules, while participants in the resolution process must post the required bond or stake.",
Partner,Access Channel,UMA,Polymarket connects to UMA's Optimistic Oracle for market resolution.,
Partner,Activities,Propose / Vote,An outcome is proposed. If nobody challenges it during the challenge window it can settle; challenged cases can escalate to UMA's dispute process.,
Partner,Resources,Oracle / Stake,The Partner contributes oracle infrastructure and a bonded dispute mechanism that gives the market an external way to determine the winning outcome.,
