Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,IT Service,"Software, infrastructure, cloud, cybersecurity, workplace technology or specialist support that becomes usable for the Bundeswehr.",
Owner,Actor,BWI,BWI is the Owner of this bounded defense-IT ecosystem: it connects Bundeswehr demand with its own capabilities and contributions from the market.,
Owner,Job,Run Network,"BWI has to orchestrate the network of Bundeswehr demand, internal capability, outside suppliers and common rules.",
Owner,Gain,Speed / Scale,BWI can use market capability to increase speed and scale without having to own every technology and skill internally.,
Owner,Pain,Complex / Lock-in,"More suppliers create more interfaces, dependencies and technology choices that have to remain secure, interoperable and replaceable.",
Owner,Transaction,Buy / Bundle,"BWI buys external capability and bundles it with its own services, infrastructure and operating knowledge.","← Consumer · Demand — The Bundeswehr sends requirements, priorities and orders into BWI so the ecosystem knows which problems have to be solved. | → Consumer · Service — BWI returns an integrated digital service to the Bundeswehr rather than a disconnected collection of supplier outputs. | ← Provider · Supply — Vendors feed technology, products and specialist delivery capacity into BWI. | → Provider · Payment — Selected vendors receive paid work; the roadmap makes future demand more visible before formal tenders are published. | → Partner · Rules — BWI gives Enablers architecture, security and project constraints so orchestration remains under deliberate Owner control. | ← Partner · Design — Enablers return integration design that helps multiple suppliers fit together and can also create de facto standards if choices are not governed consciously."
Owner,Governance,Rules / Arch,"BWI defines procurement rules, security requirements, target architectures and interfaces that suppliers and integrators have to work with.",
Owner,Promotion Channel,Roadmap,The procurement roadmap and market-dialogue formats make future demand visible earlier and help companies decide where to prepare and invest.,
Owner,Activities,Build / Align,BWI builds and operates important capabilities itself while aligning outside contributions with the wider Bundeswehr IT environment.,
Owner,Resources,Staff / Arch,"BWI combines more than 8,500 employees, architecture knowledge and operational control of more than 1.2 million IT systems and assets.",
Consumer,Actor,Bundeswehr,The Bundeswehr is the primary customer in this bounded system and needs secure digital capability for its mission.,
Consumer,Job,Stay Ready,"Its job is to remain operationally ready in peace, crisis and war.",
Consumer,Gain,Ready / Secure,The Bundeswehr gains digital capability that is available when needed and secure enough for military use.,
Consumer,Pain,Delay / Gaps,"Capability arrives too slowly, does not connect to the wider environment or cannot be trusted in the mission.",
Consumer,Transaction,Need / Order,"The Bundeswehr brings needs, priorities and orders into the system and expects working digital services in return.","→ Owner · Demand — The Bundeswehr sends requirements, priorities and orders into BWI so the ecosystem knows which problems have to be solved. | ← Owner · Service — BWI returns an integrated digital service to the Bundeswehr rather than a disconnected collection of supplier outputs."
Consumer,Filter,Mandate,Participation is not open to any customer: BWI exists primarily to serve the Bundeswehr under a public mandate.,
Consumer,Access Channel,Portfolio,The Bundeswehr receives value through BWI's service portfolio and delivery organization rather than through an open marketplace.,
Consumer,Activities,Use / Ask,The Bundeswehr repeatedly uses existing services and requests new or changed digital capabilities.,
Consumer,Resources,Needs / Data,"The Bundeswehr contributes requirements, operational knowledge and the data needed to shape appropriate solutions.",
Provider,Actor,Vendors,"External software companies, technology suppliers and service firms provide parts of the digital solution.",
Provider,Job,Win Work,Providers aim to turn their specialist expertise into real projects and delivery work.,
Provider,Gain,Plan / Revenue,Earlier demand visibility can improve planning while successful bids create revenue from future contracts.,
Provider,Pain,Rules / Cost,"Qualifying, bidding and meeting strict procurement, security and technical requirements is costly and complex.",
Provider,Transaction,Bid / Deliver,"Providers bid for work and, if selected, deliver technology or services into the BWI environment.","→ Owner · Supply — Vendors feed technology, products and specialist delivery capacity into BWI. | ← Owner · Payment — Selected vendors receive paid work; the roadmap makes future demand more visible before formal tenders are published. | ← Partner · Specs — Enablers can translate integration choices into specifications that vendors must fit, which is where implementation patterns can begin to behave like standards."
Provider,Filter,Fit / Trust,"A provider has to fit the tender, security rules and technical environment; technical quality alone is not enough.",
Provider,Access Channel,Portal,"Formal access to live opportunities comes through BWI's procurement platform, while the roadmap and market-dialogue formats provide earlier visibility.",
Provider,Activities,Bid / Build,"Providers repeatedly prepare bids, build or configure solutions and support delivery.",
Provider,Resources,Skill / Tech,"Providers contribute specialist skills, technologies, products and delivery capacity that BWI does not need to own entirely itself.",
Partner,Actor,Enablers,"System integrators, architecture partners and similar firms help multiple technologies and suppliers work together. This is a functional ecosystem role, not a separate legal procurement category.",
Partner,Job,Make Fit,"Their job is to make different technologies fit the same architecture, security model and operating environment.",
Partner,Gain,Role / Scale,"As the ecosystem grows, an Enabler can gain a broader role because its work can support multiple projects rather than one product.",
Partner,Pain,Legacy / Gaps,"Legacy systems, missing interfaces and divergent technical choices can make integration slow and expensive.",
Partner,Transaction,Design / Align,"Enablers contribute integration design and alignment while receiving mandates, rules and project context from BWI.","← Owner · Rules — BWI gives Enablers architecture, security and project constraints so orchestration remains under deliberate Owner control. | → Owner · Design — Enablers return integration design that helps multiple suppliers fit together and can also create de facto standards if choices are not governed consciously. | → Provider · Specs — Enablers can translate integration choices into specifications that vendors must fit, which is where implementation patterns can begin to behave like standards."
Partner,Filter,Trusted,"The role depends on trust, required security conditions and the ability to work inside BWI's architecture and governance.",
Partner,Access Channel,Projects,"Enablers connect through projects, architecture work and integration programs rather than through a consumer-facing interface.",
Partner,Activities,Link / Align,"They repeatedly connect systems, align interfaces and turn separate components into coherent services.",
Partner,Resources,Knowhow / Tools,"They contribute integration know-how, architecture skills and tools for complex multi-vendor environments.",
