Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Product Listing,"The Product Listing is the unit of value made discoverable through Walmart Marketplace: a seller's offer combining the product, price, availability, delivery promise and other information a Shopper uses to decide whether to buy.",
Owner,Actor,Walmart,Walmart Inc. owns the marketplace environment and its marketplace team governs how third-party Sellers and supporting services participate.,
Owner,Job,Grow Platform,Walmart's job is to expand marketplace assortment and transaction volume while maintaining the customer experience and economics of the broader Walmart ecosystem.,
Owner,Gain,Growth / Margin / Data,"Marketplace growth can expand assortment and customer loyalty while adding referral-fee, advertising and service revenue opportunities without Walmart owning every item sold.",
Owner,Pain,Quality / Trust / Scale,"Rapid seller growth can create quality, counterfeit, compliance, customer-service and technology-scaling problems that may damage trust in the Walmart brand.",
Owner,Transaction,Fees / Payouts,"Walmart sits inside the marketplace transaction: it collects customer payment, deducts category-based referral fees and coordinates settlement or payout to Sellers, while also monetizing services such as advertising.","← Consumer · Order / Pay — Shoppers place marketplace orders and pay through Walmart's checkout. | → Provider · Payout — Walmart coordinates seller settlement after the marketplace transaction, net of applicable fees and adjustments. | ← Provider · Commission — Sellers pay Walmart category-based referral fees on completed marketplace sales. | → Partner · Fees / Contract — Walmart can contract and pay external service partners for logistics, technology, payments, advertising or other marketplace capabilities."
Owner,Governance,Rules / Quality,"Walmart governs entry and participation through product policies, business verification, seller performance standards, reviews, compliance controls, dispute processes and enforcement.",
Owner,Promotion Channel,App / Search / Stores,"Walmart can promote marketplace demand through its website, app, search visibility, advertising, email, social channels and physical store presence.",
Owner,Activities,Onboard / Govern / Promote,"Walmart recruits and onboards Sellers, monitors quality and performance, promotes listings and marketplace services, coordinates transactions and scales the platform infrastructure.",
Owner,Resources,Brand / Tech / Data,"The marketplace draws on Walmart's brand, digital platform, commerce data, seller support, marketing reach, legal and policy capabilities, payment infrastructure and physical retail network.",
Consumer,Actor,Shoppers,"Price-conscious shoppers, families and online buyers use Walmart Marketplace to compare and purchase products from Walmart and third-party Sellers through one customer experience.",
Consumer,Job,Save Money,Shoppers use the marketplace to find products that meet their needs at competitive prices without having to search across many separate retailers.,
Consumer,Gain,Low Price / Choice,"A wider assortment, competitive prices, convenience and the Walmart brand can reduce the effort and perceived risk of online shopping.",
Consumer,Pain,Price / Trust,"High prices, weak selection, delivery problems or uncertainty about third-party seller quality can reduce the value of the marketplace for Shoppers.",
