Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Track,"The Track is the Core Value Unit in this music-only boundary: the piece of music a Listener can find, choose and play.",
Owner,Actor,Spotify,"Spotify owns and operates the music platform connecting Listeners, Artists and the rights side and controls search, playlists, recommendation and platform rules.",
Owner,Job,Match Music,Spotify's job in this model is to match Listener taste with the right Track at the right moment.,
Owner,Gain,Growth / Revenue,"If discovery keeps working, Listeners stay, subscribe and create more opportunities for revenue growth.",
Owner,Pain,Trust / Spam,"A huge catalog creates trust and quality challenges when spam, impersonation and low-effort content compete for limited Listener attention.",
Owner,Transaction,Stream / Settle,"Spotify delivers the listening experience, collects revenue and settles a large share of music revenue back to the rights side.","← Consumer · Payment — For Premium Listeners, subscription payment moves to Spotify. | → Consumer · Discovery — Spotify gives Listeners discovery through search, playlists and recommendations. | ← Provider · Profile — Artists connect directly to Spotify with profile information, pitches and artist-management activity. | → Provider · Data — Spotify returns audience and performance information through Spotify for Artists. | → Partner · Royalty — Spotify returns royalties to the rights side, which then distributes money according to its agreements. | ← Partner · Rights — Labels and distributors provide the licensed catalog and rights information Spotify needs to carry the music."
Owner,Governance,Rank / Rules,Spotify sets platform rules and decides how music is ranked and recommended. The announced AI Persona policy adds badges and changes default recommendation eligibility for that subtype.,
Owner,Promotion Channel,Playlists,Playlists and recommendation surfaces are among Spotify's strongest tools for moving attention toward particular Tracks.,
Owner,Activities,Rank / Check,"Spotify ranks music and checks signals for policy, identity and quality problems; the AI Persona policy adds profile review and recommendation treatment.",
Owner,Resources,Data / Reach,Spotify's audience reach and the taste signals generated by hundreds of millions of Listeners are core platform resources.,
Consumer,Actor,Listeners,"Listeners are the Consumer side of Spotify's music platform: people who search, play, save, follow and discover music.",
Consumer,Job,Find Music,Listeners want to find something worth hearing without manually sorting through the entire catalog.,
Consumer,Gain,Choice / Fit,The catalog creates value when Spotify can combine large choice with music that fits the Listener's taste or moment.,
Consumer,Pain,Trust Risk,"Discovery becomes less useful when people cannot tell who is real, what is spam or whether an artist identity is misleading.",
Consumer,Transaction,Listen / Pay,Listening creates attention and engagement; Premium Listeners also pay a subscription.,"→ Owner · Payment — For Premium Listeners, subscription payment moves to Spotify. | ← Owner · Discovery — Spotify gives Listeners discovery through search, playlists and recommendations."
Consumer,Filter,Plan / Market,Available features depend on subscription plan and market.,
Consumer,Access Channel,App / Web,Listeners primarily access Spotify through the app and web player.,
Consumer,Activities,Search / Play,"Listeners search, play, skip, save and follow music and artists.",
Consumer,Resources,Time / Data,Listening activity contributes attention and taste signals that Spotify can use for personalization and discovery.,
Provider,Actor,Artists,"Artists are the Provider side because they create the music Listeners ultimately want. AI Persona profiles are a specific subtype affected by the new policy, not the whole Provider population.",
Provider,Job,Reach Fans,Artists want their music to reach Listeners and build an audience.,
Provider,Gain,Plays / Fans,"Successful discovery can create streams, repeat listening and new fans.",
Provider,Pain,Noise / Fraud,"Artists compete for attention while also facing spam, impersonation and music wrongly attached to an artist identity.",
Provider,Transaction,Music / Data,"Artists contribute music and profile information, while Spotify can return audience and performance data through Spotify for Artists.","→ Owner · Profile — Artists connect directly to Spotify with profile information, pitches and artist-management activity. | ← Owner · Data — Spotify returns audience and performance information through Spotify for Artists. | → Partner · Music — For many Artists, the journey to Spotify begins by sending the release through a label or distributor. | ← Partner · Payout — As listening generates royalties, money can move back to the Artist through the label or distributor relationship."
Provider,Filter,Licensed,Music must reach Spotify through an authorized label or distributor so the release is properly licensed.,
Provider,Access Channel,For Artists,"Spotify for Artists gives Artists tools to manage profiles, understand audiences and pitch upcoming music.",
Provider,Activities,Release / Pitch,"Artists release music, manage their profiles and pitch tracks for discovery.",
Provider,Resources,Songs / Brand,Artists contribute the music itself and the public artist identity around it.,
Partner,Actor,Labels / Distributors,"Labels and distributors form the rights-and-delivery Partner layer between many Artists and Spotify. They deliver licensed releases, rights metadata and royalty flows without being the end Listener or the underlying Artist.",
Partner,Job,Grow Value,Labels and distributors want the catalog they represent to be heard and generate economic value.,
Partner,Gain,Fees / Reach,More listening can generate broader reach and more royalty income for the rights side.,
Partner,Pain,Rights Risk,The rights side risks losing control of rights or allowing manipulated activity to divert value toward the wrong content.,
Partner,Transaction,Rights / Pay,"Labels and distributors provide licensed rights and release data, while royalty money flows back through the rights chain.","← Provider · Music — For many Artists, the journey to Spotify begins by sending the release through a label or distributor. | → Provider · Payout — As listening generates royalties, money can move back to the Artist through the label or distributor relationship. | ← Owner · Royalty — Spotify returns royalties to the rights side, which then distributes money according to its agreements. | → Owner · Rights — Labels and distributors provide the licensed catalog and rights information Spotify needs to carry the music."
Partner,Filter,Catalog,Only music a label or distributor controls or is authorized to deliver belongs in that relationship.,
Partner,Access Channel,Deals,The relationship with Spotify is built through licensing and distribution agreements.,
Partner,Activities,Clear / Track,"Labels and distributors clear rights, deliver releases and track usage that drives payment.",
Partner,Resources,Rights / Data,They contribute music rights and metadata needed to identify who owns what.,
