Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Content,"Content is the Core Value Unit: posts, Reels, Stories and other items that creators publish and that Meta can rank and distribute to teen users across the bounded Facebook and Instagram feed experience.",
Owner,Actor,Meta,Meta owns and operates the bounded Facebook and Instagram social-feed layer between creators and teen users.,
Owner,Job,Match Content,Meta's platform job is to match people with content they are likely to value through discovery and recommendation.,
Owner,Gain,Growth / Ads,"Sustained engagement supports usage, creator participation and the advertising opportunities that drive most of Meta's revenue.",
Owner,Pain,Rival Shift,A platform-specific restriction can shift some teen attention toward competing apps. Meta explicitly argues that teens move between apps when one service becomes more restrictive.,
Owner,Transaction,Rank / Serve,"Meta selects, ranks and serves personalized content back to the teen user.","← Consumer · Signals — Teen scrolling, viewing, liking, skipping and sharing generate behavioral signals for Meta. | → Consumer · Content — Meta ranks and serves a personalized stream of creator content to teens. | ← Provider · Content — Creators supply posts, Reels, Stories and other discoverable content to Meta. | → Provider · Reach — Meta provides creators with distribution and audience reach. | → Partner · Controls — Meta gives parents supervision information and controls over parts of the teen experience. | ← Partner · Consent — Parents approve or retain restrictions, and those decisions change how the teen account operates."
Owner,Governance,2h / Night,"The court-approved baseline introduces a two-hour cumulative daily limit across Facebook and Instagram and a midnight-to-6am Night Mode, alongside stronger age assurance and parental controls. A stricter one-hour-per-app state is conditional on peer adoption.",
Owner,Promotion Channel,Push,Push notifications are an important re-engagement channel. The settlement mutes most notifications during school hours and therefore directly constrains this return mechanism.,
Owner,Activities,Rank / Check,"Meta ranks content and checks age, account, safety and policy signals across the teen experience.",
Owner,Resources,Data / Graph,"Behavioral data and the social/interest graph are central resources for discovery, recommendation and engagement.",
Consumer,Actor,Teens,"Teenagers under 18 using Facebook and Instagram are the Consumer role in this bounded model. They receive, consume and react to content.",
Consumer,Job,Connect,"Teens use the social feed to connect with people and keep up with topics, creators and communities they care about.",
Consumer,Gain,Fun / Belong,The positive outcome is entertainment together with a sense of connection or belonging.,
Consumer,Pain,Harm / Overuse,The central tension is that useful connection can become excessive use or expose teens to harmful experiences.,
Consumer,Transaction,Time / Data,"While using the feed, teens contribute attention and behavioral signals such as watching, pausing, liking, skipping and sharing.","→ Owner · Signals — Teen scrolling, viewing, liking, skipping and sharing generate behavioral signals for Meta. | ← Owner · Content — Meta ranks and serves a personalized stream of creator content to teens."
Consumer,Filter,Age / Parent,The settlement strengthens age assurance and makes parental permission important for lifting major default restrictions on teen accounts.,
Consumer,Access Channel,App / Feed,"The bounded experience is accessed through Facebook and Instagram Feed, Reels, Stories and Explore. Direct messaging is deliberately outside this model because several settlement restrictions exclude it.",
Consumer,Activities,Scroll / React,"Teens scroll, watch and react to content, generating the engagement behavior that sustains the feed loop.",
Consumer,Resources,Time,Time and attention are the thesis-critical Consumer resources because the settlement directly constrains how much time teens can spend in the bounded feed experience.,
Provider,Actor,Creators,"Creators are the Provider side: public creators and other eligible accounts supplying discoverable posts, Reels, Stories and related feed content.",
Provider,Job,Reach Fans,Creators publish because they want their work to reach an audience and help them build a following.,
Provider,Gain,Teen Reach,"Creators gain distribution to teen audiences. If the settlement reduces teen time and engagement at the margin, that segment of potential reach can weaken.",
Provider,Pain,Noise / Rules,Creators compete with very large amounts of content while operating within Meta's platform and teen-safety rules.,
Provider,Transaction,Posts / Reach,Creators provide content to Meta and seek distribution and audience reach in return.,"→ Owner · Content — Creators supply posts, Reels, Stories and other discoverable content to Meta. | ← Owner · Reach — Meta provides creators with distribution and audience reach."
Provider,Filter,Rules,"Accounts and content must comply with Meta policies, including restrictions on what may be shown to teens.",
Provider,Access Channel,Create,Creators publish through Meta's creation and professional tools.,
Provider,Activities,Post / Reply,"Creators publish repeatedly, respond to audiences and adapt content based on reaction and distribution.",
Provider,Resources,Content / Brand,"Creators contribute the supply Meta cannot create by itself: content, identity, credibility and audience affinity.",
Partner,Actor,Parents,"Parents are a governance-enabling Partner in this teen-specific platform model. Through supervision tools and permission rights, they can make teen participation more acceptable and determine whether some protective defaults may be changed.",
Partner,Job,Protect Teens,Parents want their teenagers to remain connected without giving up safety and appropriate limits.,
Partner,Gain,Control,The settlement strengthens the information and control parents can exercise over important teen-account settings.,
Partner,Pain,Harm / Conflict,"Parents must balance protection against the possibility of recurring conflict over devices, limits and social participation.",
Partner,Transaction,Consent / Limits,"Parents can approve changes, set limits or leave protective restrictions in place.","← Owner · Controls — Meta gives parents supervision information and controls over parts of the teen experience. | → Owner · Consent — Parents approve or retain restrictions, and those decisions change how the teen account operates."
Partner,Filter,Guardian,The role exists because the person is the parent or guardian of a supervised teen account.,
Partner,Access Channel,Family Ctr,Family Center is Meta's main interface for parental supervision and related controls.,
Partner,Activities,Set / Review,"Parents review activity and settings, set limits and decide whether protective defaults should change.",
Partner,Resources,Time / Trust,Parents contribute supervision time and the family relationship needed to make guidance and controls workable.,
