Perspective,Field,Value,Explanation,Transaction Flows
Core Value Unit,Core Value Unit,Product,"The Product is the Core Value Unit: the thing the Shopper ultimately comes to find, compare, choose and buy.",
Owner,Actor,Shopify,"Shopify remains the platform Owner. Even when the Shopper never sees a Shopify storefront, Shopify can still orchestrate commerce infrastructure underneath the interaction.",
Owner,Job,Enable Sales,"Shopify’s job is to enable commerce for Merchants wherever buyers appear: online stores, physical retail, social channels and now AI conversations.",
Owner,Gain,Scale,One commerce platform can potentially power transactions across many AI front ends instead of depending on Shoppers visiting one type of storefront.,
Owner,Pain,Lost Touch,"If discovery moves into ChatGPT, Copilot, Gemini or another Agent, Shopify no longer owns the main consumer-facing interface where the Shopper decides what to buy.",
Owner,Transaction,Order / Fees,"Shopify processes the commerce workflow around the order and can earn transaction-related revenue. For the Agentic Plan, Shopify says there is no monthly subscription fee; businesses pay standard payment rates when products sell through channels powered by Shopify Checkout.","← Provider · Data — Merchants give Shopify the structured product data AI agents need, including products, variants, prices, inventory and attributes. | → Provider · Order — Shopify delivers the resulting order into the Merchant’s Admin with channel attribution and the information needed to fulfill it. | → Partner · Catalog — Shopify gives connected AI Agents structured product information through Shopify Catalog and related commerce interfaces. | ← Partner · Order — When the Shopper is ready to buy, the AI channel can send purchase intent or order information into Shopify’s commerce infrastructure."
Owner,Governance,Data / Rules,"Shopify governs the commerce layer through product-data requirements, merchant settings, checkout rules and the standards its infrastructure exposes, but it does not fully control how an external AI Agent ranks products.",
Owner,Promotion Channel,Partners,"Partnerships become a growth channel: integrations with OpenAI, Microsoft and Google put Merchant products where AI users already spend time.",
Owner,Activities,Sync / Settle,"Shopify synchronizes product information and handles difficult commerce work around checkout, payment processing, tax, fraud and order flow.",
Owner,Resources,Catalog / Rails,"The critical resources are Shopify Catalog and its commerce rails: the underlying systems that make checkout, payments, tax, fraud handling and orders work.",
Consumer,Actor,Shoppers,The Consumer side is Shoppers: people trying to find and buy the right product.,
Consumer,Job,Find Product,Shoppers want to find a product that fits what they actually need.,
Consumer,Gain,Choice / Ease,"Instead of manually opening many stores, a Shopper can describe the need in plain language and let an AI agent narrow the options.",
Consumer,Pain,Search,"Traditional ecommerce often makes the Shopper do the work: search, filter, compare, reopen tabs and decide.",
Consumer,Transaction,Query / Pay,The Shopper contributes a query describing what they want and eventually payment when a purchase is made.,"→ Provider · Payment — The Shopper pays the Merchant for the purchase. Shopify Checkout or another processor may technically mediate the payment, but the economic Consumer-to-Provider relationship remains. | ← Provider · Product — The Merchant ultimately gives the Shopper the Product. Agentic commerce changes discovery and transaction orchestration, not the underlying product exchange. | → Partner · Query — The Shopper gives the AI Agent a query describing what they want and what matters. | ← Partner · Options — The AI Agent returns product options, comparisons and recommendations."
